sex,Fish_ID,test,filepath,day,BASELINE,PROBE,difference,set,tod
male,a6842,BLUCS,./Data/Day3/BLUGRE-t3c-D3-AM.csv,2,32.90013333,35.4545,-2.554366667,treatment,AM
male,a6842,BLUCS,./Data/Day7/BLUGRE-t3c-D7-NOON.csv,7,34.16113333,4.8215,29.33963333,treatment,NOON
male,a6882,BLUCS,./Data/Day3/BLUGRE-t3b-D3-AM.csv,2,38.44533333,22.9455,15.49983333,treatment,AM
male,a6882,BLUCS,./Data/Day7/BLUGRE-t3b-D7-NOON.csv,7,34.915,28.9375,5.9775,treatment,NOON
female,a7686,BLUCS,./Data/Day3/BLUGRE-t3c-D3-AM.csv,2,29.23936667,30.0435,-0.804133333,treatment,AM
female,a7686,BLUCS,./Data/Day7/BLUGRE-t3c-D7-NOON.csv,7,6.640833333,6.3765,0.264333333,treatment,NOON
male,a6869,BLUCS,./Data/Day4/BLUGRE-t4c-D4-NOON.csv,4,40.49623333,10.431,30.06523333,treatment,NOON
male,a6869,BLUCS,./Data/Day8/BLUGRE-t4c-D8-AM.csv,8,48.28506667,4.041,44.24406667,treatment,AM
male,a6799,BLUCS,./Data/Day4/BLUGRE-t4a-D4-NOON.csv,4,41.19883333,30.127,11.07183333,treatment,NOON
male,a6799,BLUCS,./Data/Day8/BLUGRE-t4a-D8-AM.csv,8,38.8874,30.0485,8.8389,treatment,AM
male,a8057,BLUCS,./Data/Day4/BLUGRE-t4a-D4-NOON.csv,4,42.45436667,30.0375,12.41686667,treatment,NOON
male,a8057,BLUCS,./Data/Day8/BLUGRE-t4a-D8-AM.csv,8,21.66633333,3.5405,18.12583333,treatment,AM
female,a7439,BLUCS,./Data/Day4/BLUGRE-t4b-D4-NOON.csv,4,32.10113333,30.031,2.070133333,treatment,NOON
female,a7439,BLUCS,./Data/Day8/BLUGRE-t4b-D8-AM.csv,8,32.83773333,17.8935,14.94423333,treatment,AM
female,a6961,BLUCS,./Data/Day4/BLUGRE-t4c-D4-NOON.csv,4,24.38486667,48.4455,-24.06063333,treatment,NOON
female,a6961,BLUCS,./Data/Day8/BLUGRE-t4c-D8-AM.csv,8,27.0747,30.032,-2.9573,treatment,AM
male,a7297,BLUCS,./Data/Day4/BLUGRE-t4c-D4-NOON.csv,4,39.86226667,30.025,9.837266667,treatment,NOON
male,a7297,BLUCS,./Data/Day8/BLUGRE-t4c-D8-AM.csv,8,11.9319,30.032,-18.1001,treatment,AM
male,a7180,BLUCS,./Data/Day4/BLUGRE-t4e-D4-PM.csv,4,48.06943333,55.8465,-7.777066667,treatment,PM
male,a7180,BLUCS,./Data/Day8/BLUGRE-t4e-D8-NOON.csv,8,30.72636667,55.1685,-24.44213333,treatment,NOON
male,a7018,BLUCS,./Data/Day4/BLUGRE-t4c-D4-NOON.csv,4,26.6633,27.11,-0.4467,treatment,NOON
male,a7018,BLUCS,./Data/Day8/BLUGRE-t4c-D8-AM.csv,8,44.91813333,17.0795,27.83863333,treatment,AM
female,a7214,BLUCS,./Data/Day4/BLUGRE-t4e-D4-PM.csv,4,30.21046667,30.025,0.185466667,treatment,PM
female,a7214,BLUCS,./Data/Day8/BLUGRE-t4e-D8-NOON.csv,8,31.93346667,30.053,1.880466667,treatment,NOON
female,a7061,BLUCS,./Data/Day4/BLUGRE-t4d-D4-PM.csv.csv,4,29.87486667,30.0455,-0.170633333,treatment,PM
female,a7061,BLUCS,./Data/Day8/BLUGRE-t4d-D8-AM.csv,8,39.08103333,54.815,-15.73396667,treatment,AM
female,a7562,BLUCS,./Data/Day4/BLUGRE-t4d-D4-PM.csv.csv,4,20.55013333,2.392,18.15813333,treatment,PM
female,a7562,BLUCS,./Data/Day8/BLUGRE-t4d-D8-AM.csv,8,24.77216667,34.3845,-9.612333333,treatment,AM
male,a7646,BLUCS,./Data/Day4/BLUGRE-t4e-D4-PM.csv,4,13.54193333,2.2605,11.28143333,treatment,PM
male,a7646,BLUCS,./Data/Day8/BLUGRE-t4e-D8-NOON.csv,8,4.286233333,2.9365,1.349733333,treatment,NOON
male,a7321,BLUCS,./Data/Day4/BLUGRE-t4e-D4-PM.csv,4,48.9972,30.4745,18.5227,treatment,PM
female,a7358,BLUCS,./Data/Day4/BLUGRE-t4b-D4-NOON.csv,4,41.85153333,30.031,11.82053333,treatment,NOON
female,a7358,BLUCS,./Data/Day8/BLUGRE-t4b-D8-AM.csv,8,15.75986667,13.373,2.386866667,treatment,AM
male,a6891,BLUCS,./Data/Day4/BLUGRE-t4b-D4-NOON.csv,4,14.4617,23.133,-8.6713,treatment,NOON
male,a6891,BLUCS,./Data/Day8/BLUGRE-t4b-D8-AM.csv,8,26.08176667,4.5125,21.56926667,treatment,AM
male,a7728,BLUCS,./Data/Day4/BLUGRE-t4b-D4-NOON.csv,4,14.24696667,3.9785,10.26846667,treatment,NOON
male,a7728,BLUCS,./Data/Day8/BLUGRE-t4b-D8-AM.csv,8,41.8667,40.1265,1.7402,treatment,AM
male,a7728,BLUCS,./Data/Day8/BLUGRE-t4e-D8-NOON.csv,8,1.122766667,9.966,-8.843233333,treatment,NOON
female,a7608,BLUCS,./Data/Day4/BLUGRE-t4a-D4-NOON.csv,4,46.68043333,4.2055,42.47493333,treatment,NOON
female,a7608,BLUCS,./Data/Day8/BLUGRE-t4a-D8-AM.csv,8,33.75953333,30.0485,3.711033333,treatment,AM
male,a7138,BLUCS,./Data/Day4/BLUGRE-t4a-D4-NOON.csv,4,26.3737,44.1505,-17.7768,treatment,NOON
male,a7138,BLUCS,./Data/Day8/BLUGRE-t4a-D8-AM.csv,8,25.94903333,1.2915,24.65753333,treatment,AM
female,a7409,BLUCS,./Data/Day4/BLUGRE-t4d-D4-PM.csv.csv,4,51.52346667,58.984,-7.460533333,treatment,PM
female,a7409,BLUCS,./Data/Day8/BLUGRE-t4d-D8-AM.csv,8,10.2386,25.8335,-15.5949,treatment,AM
female,a8062,BLUCS,./Data/Day4/BLUGRE-t4d-D4-PM.csv.csv,4,30.4193,9.5655,20.8538,treatment,PM
female,a8062,BLUCS,./Data/Day8/BLUGRE-t4d-D8-AM.csv,8,34.21883333,30.0395,4.179333333,treatment,AM
