"","Date","Day","Position","Mark","Sex","Tank","Group","Trial","Fish_ID","Notes","tot_dist","mean_velocity","velocity_sd","velocity_se","high_freq","high_duration","mid_freq","mid_duration","low_freq","low_duration","low_mid_high_trans","high_mid_low_trans","freezing_freq","freezing_dur","tot_duration","Weight(g)"
"253","19/08/2019","Monday","2","Red.Whi","female","HA_C3","Control","1","a7322",NA,1421.49,3.15943,2.34499,0.0312693,8,28.32,20,56.08,12,365.6,7,4,17,8.8,450,0.652
"254","11/09/2019","Wednesday","4","Red.Whi","female","HA_C3","Control","27","a7322",NA,170.816,0.379658,0.720837,0.00961202,0,0,0,0,1,450,0,0,51,296.88,450,0.652
"255","2/08/2019","Friday","4","Red.Pur","male","HA_T3","Treatment","16","a7325",NA,1600.51,3.55733,2.26785,0.0302407,5,15.6,18,59.6,14,374.8,4,3,12,14.4,450,0.446
"256","19/08/2019","Monday","2","Red.Pur","male","HA_T3","Treatment","27","a7325",NA,872.629,1.93952,1.80458,0.0240632,1,4.08,6,14.56,6,431.36,0,1,19,55.12,450,0.446
"257","11/09/2019","Wednesday","4","Red.Pur","male","HA_T3","Treatment","2","a7325",NA,671.943,1.49347,2.04509,0.0272703,3,11.2,6,22.08,4,416.72,3,1,28,189.2,450,0.446
"258","2/08/2019","Friday","2","Bro.Whi","female","HA_T4","Treatment","21","a7358",NA,1993.46,4.43069,2.63524,0.0351397,18,93.52,39,144.48,21,212,11,11,2,0.24,450,0.582
"259","19/08/2019","Monday","6","Bro.Whi","female","HA_T4","Treatment","4","a7358",NA,1560.9,3.46927,2.14488,0.0286009,10,86.24,19,104,9,259.76,6,5,8,0.72,450,0.582
"260","11/09/2019","Wednesday","1","Bro.Whi","female","HA_T4","Treatment","10","a7358",NA,986.941,2.19359,2.62989,0.0350683,4,129.76,6,14,3,306.24,3,2,44,49.28,450,0.582
"261","2/08/2019","Friday","6","Bro.Ora","male","HA_C3","Control","11","a7361",NA,1419.38,3.15475,3.06195,0.0408297,8,33.68,21,40.32,14,376,5,5,24,7.92,450,0.417
"262","19/08/2019","Monday","2","Bro.Ora","male","HA_C3","Control","2","a7361",NA,2078.81,4.6204,2.96691,0.0395623,15,75.52,38,101.2,24,273.28,10,9,6,0.8,450,0.417
"263","11/09/2019","Wednesday","3","Bro.Ora","male","HA_C3","Control","26","a7361",NA,2264.62,5.03338,3.38658,0.0451584,24,117.04,50,87.92,27,245.04,15,14,11,1.04,450,0.417
"264","2/08/2019","Friday","2","Bro._","female","HA_C4","Control","20","a7367",NA,1411.19,3.13653,1.93031,0.0257397,0,0,6,17.2,7,432.8,0,0,7,0.72,450,0.577
"265","19/08/2019","Monday","2","Bro._","female","HA_C4","Control","22","a7367",NA,1877.95,4.17396,2.18417,0.0291248,10,48.08,21,83.2,12,318.72,5,4,2,0.16,450,0.577
"266","11/09/2019","Wednesday","5","Bro._","female","HA_C4","Control","4","a7367",NA,915.099,2.03392,1.73014,0.0230706,0,0,1,0.64,2,449.36,0,0,18,81.76,450,0.577
"267","2/08/2019","Friday","3","Whi.Yel","male","HA_C2","Control","7","a7370",NA,1064.76,2.36655,1.84995,0.0246682,2,4.08,11,43.92,10,402,2,0,22,13.6,450,0.439
"268","19/08/2019","Monday","2","Whi.Yel","male","HA_C2","Control","15","a7370",NA,1593.81,3.54243,2.89495,0.0386028,14,57.36,26,68.48,13,324.16,5,5,15,1.92,450,0.439
"269","11/09/2019","Wednesday","4","Whi.Yel","male","HA_C2","Control","13","a7370",NA,1487.89,3.30701,2.60375,0.0347198,10,44.24,18,39.6,9,366.16,7,5,15,1.92,450,0.439
"270","2/08/2019","Friday","2","Whi.Pin","male","HA_T2","Treatment","8","a7375",NA,1111.96,2.47146,3.48516,0.0464729,0,0,17,13.6,18,436.4,0,0,40,101.2,450,0.458
"271","19/08/2019","Monday","5","Whi.Pin","male","HA_T2","Treatment","17","a7375",NA,478.335,1.06316,2.55991,0.0341352,7,50.48,9,17.12,3,382.4,1,1,22,293.44,450,0.458
"272","11/09/2019","Wednesday","1","Whi.Pin","male","HA_T2","Treatment","23","a7375",NA,1189.94,2.64478,3.48123,0.0464205,8,32.4,14,31.2,6,386.4,2,2,33,112.48,450,0.458
