Mark,Sex,Fish_ID,Tank,Treatment_Tank,Weight(g),Fish_Length_cm,BMI,K Index,Date,Week,Age_Days,Notes
Blu.Yel,female,a6881,HA_C2,Control,0.287,2.746,0.038061056,,16/05/2019,0,112,
Ora.Bro,male,a6967,HA_C2,Control,0.217,2.748,0.028735997,,16/05/2019,0,112,
Blu.Blu,male,a7006,HA_C2,Control,0.165,2.705,0.022550148,,16/05/2019,0,112,
Pur._,male,a7056,HA_C2,Control,0.151,2.406,0.026084691,,16/05/2019,0,112,
Red.Pin,male,a7096,HA_C2,Control,0.209,2.541,0.032369572,,16/05/2019,0,112,
Ora.Yel,male,a7153,HA_C2,Control,0.171,2.481,0.027780661,,16/05/2019,0,112,
Pur.Blu,male,a7163,HA_C2,Control,0.298,2.941,0.034452934,,16/05/2019,0,112,
Blu.Ora,female,a7204,HA_C2,Control,0.309,2.77,0.040271605,,16/05/2019,0,112,
_.Whi,male,a7250,HA_C2,Control,0.213,2.589,0.031777191,,16/05/2019,0,112,
Pin.Bro,female,a7284,HA_C2,Control,0.28,2.84,0.034715334,,16/05/2019,0,112,
Yel.Bla,male,a7336,HA_C2,Control,0.222,2.654,0.031517455,,17/05/2019,0,112,replacement fish 17/5/19
Whi.Yel,male,a7370,HA_C2,Control,0.221,2.725,0.029761805,,16/05/2019,0,112,
Ora.Pin,male,a7408,HA_C2,Control,0.234,2.724,0.03153564,,16/05/2019,0,112,
Red.Bro,male,a7474,HA_C2,Control,0.145,2.329,0.026731851,,16/05/2019,0,112,
Ora.Ora,female,a7486,HA_C2,Control,0.33,2.806,0.041912021,,16/05/2019,0,112,
_.Pin,female,a7549,HA_C2,Control,0.219,2.512,0.034706023,,16/05/2019,0,112,
Bro.Bro,male,a7573,HA_C2,Control,0.259,2.844,0.032021419,,16/05/2019,0,112,
_.Bla,male,a7600,HA_C2,Control,0.241,2.652,0.03426652,,16/05/2019,0,112,
_._,female,a7658,HA_C2,Control,0.195,2.414,0.033462631,,17/05/2019,0,112,replacement fish 17/5/19
Gre.Gre,male,a7688,HA_C2,Control,0.216,2.411,0.037158599,,16/05/2019,0,112,
Bro.Pur,male,a7729,HA_C2,Control,0.16,2.475,0.026119784,,16/05/2019,0,112,
Red._,female,a8064,HA_C2,Control,0.227,2.709,0.030931989,,16/05/2019,0,112,
Blu.Pur,female,a6813,HA_C3,Control,0.308,2.675,0.043043061,,16/05/2019,0,112,
Pin.Gre,female,a6845,HA_C3,Control,0.28,2.639,0.040204925,,16/05/2019,0,112,
Blu.Gre,female,a6885,HA_C3,Control,0.224,2.416,0.03837551,,16/05/2019,0,112,
Bla.Bla,female,a6929,HA_C3,Control,0.233,2.526,0.036516507,,16/05/2019,0,112,
Red.Gre,male,a6990,HA_C3,Control,0.199,2.58,0.02989604,,16/05/2019,0,112,
Gre._,male,a7017,HA_C3,Control,0.198,2.546,0.030545581,,16/05/2019,0,112,
Red.Yel,male,a7048,HA_C3,Control,0.181,2.633,0.026108196,,16/05/2019,0,112,
Red.Pur,female,a7093,HA_C3,Control,0.239,2.672,0.03347534,,16/05/2019,0,112,
Bla.Red,male,a7144,HA_C3,Control,0.228,2.657,0.032296223,,16/05/2019,0,112,
_.Pur,male,a7168,HA_C3,Control,0.156,2.384,0.027448088,,16/05/2019,0,112,
Whi.Pin,female,a7232,HA_C3,Control,0.353,2.968,0.040072544,,16/05/2019,0,112,
Whi.Ora,male,a7264,HA_C3,Control,0.208,2.474,0.033983174,,16/05/2019,0,112,
_.Pin,female,a7279,HA_C3,Control,0.326,2.605,0.048039906,,16/05/2019,0,112,
Red.Whi,female,a7322,HA_C3,Control,0.233,2.481,0.037853182,,16/05/2019,0,112,
Bro.Ora,male,a7361,HA_C3,Control,0.241,2.585,0.036065831,,16/05/2019,0,112,
Ora.Bro,male,a7407,HA_C3,Control,0.298,2.925,0.034830886,,16/05/2019,0,112,
Red.Blu,male,a7466,HA_C3,Control,0.182,2.355,0.032816296,,16/05/2019,0,112,
Red.Red,female,a7497,HA_C3,Control,0.238,2.619,0.034698121,,16/05/2019,0,112,
Pin.Blu,female,a7552,HA_C3,Control,0.226,2.421,0.038558387,,16/05/2019,0,112,
Red.Bro,male,a7564,HA_C3,Control,0.213,2.491,0.034326707,,16/05/2019,0,112,Could be male
Red._,male,a7611,HA_C3,Control,0.204,2.478,0.033222137,,16/05/2019,0,112,
Bla.Blu,female,a7660,HA_C3,Control,0.263,2.566,0.039943162,,16/05/2019,0,112,"very difficult to distinguish from bla.bla, may need to switch"
Gre.Pin,female,a7679,HA_C3,Control,0.256,2.508,0.040699109,,16/05/2019,0,112,
