Mark,Sex,Fish_ID,Tank,Group,Weight(g),Fish_Length_cm,BMI,K Index,Date,Week,Age_Days,Notes
_.Whi,male,a8070,HA_T3,Treatment,0.484,3.399,0.041893152,1.232514019,,18,,
Bla.Blu,male,a6808,HA_T3,Treatment,0.437,3.507,0.035531202,1.013150911,,18,,
_.Ora,male,a7414,HA_T3,Treatment,0.455,3.352,0.040495184,1.208090215,,18,,
Red.Pin,male,a7566,HA_T3,Treatment,0.418,3.325,0.037808808,1.137107,,18,,
Yel.Pin,male,a6996,HA_T3,Treatment,0.552,3.754,0.039169727,1.043413071,,18,,
_.Bro,male,a7719,HA_T3,Treatment,0.415,3.316,0.037741491,1.138163178,,18,,
Bla.Whi,male,a7139,HA_T3,Treatment,0.457,3.273,0.042660328,1.303401403,,18,,
Pin.Pur,male,a6842,HA_T3,Treatment,0.478,3.59,0.037088477,1.033105208,,18,,
Red.Bro,male,a7045,HA_T3,Treatment,0.512,3.468,0.042570797,1.227531639,,18,,
Blu.Pin,male,a6882,HA_T3,Treatment,0.545,3.512,0.044186285,1.258151618,,18,,
Whi.Bro,male,a7266,HA_T4,Treatment,0.428,3.446,0.03604236,1.045918753,,18,,
Whi.Pur,male,a7180,HA_T4,Treatment,0.464,3.545,0.036922024,1.041523952,,18,,
Bro.Yel,male,a7728,HA_T4,Treatment,0.478,3.46,0.039927829,1.153983503,,18,,
Gre.Gre,male,a6869,HA_T4,Treatment,0.463,3.455,0.038786884,1.122630497,,18,,
Gre.Pur,male,a7297,HA_T4,Treatment,0.509,3.583,0.039648263,1.106566091,,18,,
Red.Yel,male,a7321,HA_T4,Treatment,0.448,3.062,0.047782365,1.560495264,,18,,
Bla.Pin,male,a7138,HA_T4,Treatment,0.533,3.518,0.043066099,1.224164282,,18,,
Pin._,male,a7548,HA_T4,Treatment,0.425,3.254,0.040137825,1.23349185,,18,,
Ora.Bla,male,a7494,HA_T4,Treatment,0.441,3.215,0.04266548,1.32707558,,18,,
Gre.Bro,male,a7018,HA_T4,Treatment,0.546,3.578,0.042649306,1.191987316,,18,,
Gre.Yel,male,a7682,HA_T4,Treatment,0.437,3.174,0.043377807,1.366660586,,18,,
_.Red,male,a8057,HA_T4,Treatment,0.437,3.329,0.039432458,1.1845136,,18,,
_.Bla,male,a6799,HA_T4,Treatment,0.493,3.461,0.041157001,1.189165008,,18,,
Blu.Bla,male,a6891,HA_T4,Treatment,0.531,3.612,0.040700434,1.126811566,,18,,
Whi.Ora,male,a7646,HA_T4,Treatment,0.543,3.577,0.042438688,1.18643243,,18,,
Bro.Bla,female,a7082,HA_C1,Control,0.902,4,0.056375,1.409375,,20,,
Blu.Blu,female,a7659,HA_C1,Control,0.516,3.243,0.049063193,1.512895237,,20,,
Red.Whi,female,a7226,HA_C1,Control,0.963,4.145,0.056050207,1.352236587,,20,,
Gre.Bro,female,a6834,HA_C1,Control,0.604,3.456,0.050569594,1.463240581,,20,,
Gre.Pin,female,a7013,HA_C1,Control,0.557,3.498,0.045521397,1.301354984,,20,,
Whi.Pur,female,a7376,HA_C1,Control,0.562,3.394,0.048787958,1.437476659,,20,,
Pin.Whi,female,a7281,HA_C1,Control,0.958,4.051,0.058376899,1.441049103,,20,,
Yel.Red,female,a8068,HA_C1,Control,0.64,3.482,0.052786448,1.515980705,,20,,
Gre.Gre,female,a7698,HA_C1,Control,0.801,3.533,0.064171951,1.816358639,,20,,
Ora.Pin,female,a7498,HA_C1,Control,0.759,3.78,0.053120013,1.405291361,,20,,
Red.Red,female,a6899,HA_C1,Control,0.842,3.769,0.059273397,1.572655793,,20,,
Bla.Red,female,a6923,HA_C1,Control,0.828,3.976,0.052376634,1.31731977,,20,,
_.Pin,female,a7549,HA_C2,Control,0.769,3.648,0.057785208,1.584024341,,20,,
Pin.Bro,female,a7284,HA_C2,Control,0.761,4.102,0.045226538,1.102548464,,20,,
Red._,female,a8064,HA_C2,Control,0.603,3.657,0.045088667,1.232941387,,20,,
_._,female,a7658,HA_C2,Control,0.826,3.68,0.06099362,1.657435327,,20,,
Blu.Yel,female,a6881,HA_C2,Control,0.914,3.759,0.064684696,1.720795329,,20,,
Blu.Ora,female,a7204,HA_C2,Control,0.814,3.708,0.059203169,1.596633468,,20,,
Bla._,female,a6798,HA_C2,Control,0.643,3.481,0.053064359,1.52439987,,20,,
Ora.Ora,female,a7486,HA_C2,Control,0.744,3.806,0.051361224,1.349480408,,20,,
Red.Red,female,a7497,HA_C3,Control,0.697,3.651,0.052288853,1.432178927,,20,,
Blu.Gre,female,a6885,HA_C3,Control,0.744,3.427,0.063349724,1.848547533,,20,,
Bla.Blu,female,a7660,HA_C3,Control,0.602,3.604,0.046347565,1.286003482,,20,,
_.Pin,female,a7279,HA_C3,Control,0.905,3.765,0.063843784,1.695718029,,20,,
Red.Pin,female,a7044,HA_C3,Control,0.825,3.816,0.056654866,1.484666299,,20,,
Red.Pur,female,a7093,HA_C3,Control,0.725,3.848,0.048962984,1.272426826,,20,,
Whi.Pin,female,a7232,HA_C3,Control,0.707,3.763,0.049928783,1.32683451,,20,,
Red.Whi,female,a7322,HA_C3,Control,0.606,3.623,0.046167457,1.274288084,,20,,
Gre.Pin,female,a7679,HA_C3,Control,0.701,3.48,0.057884133,1.663337145,,20,,
Pin.Gre,female,a6845,HA_C3,Control,0.534,3.821,0.03657524,0.957216429,,20,,
Pin.Blu,female,a7552,HA_C3,Control,0.7,3.496,0.057273694,1.638263548,,20,,
Blu.Pur,female,a6813,HA_C3,Control,0.73,3.538,0.058318615,1.64834978,,20,,
Bla.Bla,female,a6929,HA_C3,Control,0.788,3.91,0.051543357,1.318244431,,20,,
Whi.Whi,female,a7661,HA_C4,Control,0.463,3.348,0.04130571,1.233742834,,20,,
_.Ora,female,a7059,HA_C4,Control,0.593,3.381,0.051875746,1.534331429,,20,,
Pur._,female,a6930,HA_C4,Control,0.687,3.741,0.049088676,1.3121806,,20,,
Bro._,female,a7367,HA_C4,Control,0.674,3.547,0.053571958,1.510345588,,20,,
