Stim,Day,Date,Video,Arena,Sex,Mark,Session,Camera,Tank,Group,Fish_ID,Notes,tot_dist,mean_speed,mean_dist_05,tot_dist_05,freeze_mean,freeze_dur,zone_510_dur,zone_05_dur,zone_2025_dur,zone_1520_dur,zone_3035_dur,zone_1015_dur,zone_3540_dur,zone_2530_dur,zone_near_dur,zone_middle_dur,zone_far_dur,arena_dur,moving_dur
Novel,Wednesday,NA,L,4,female,Ora.Yel,9,1,HA_T3,Treatment,a7484,NA,1186.27,6.59057,16.9346,38102.8,0.119997,0.239994,23.3594,65.7584,6.07985,6.55984,27.7593,5.99985,34.9591,9.51976,92.7177,17.3596,69.9183,179.995,160.716
Novel,Wednesday,NA,L,4,female,Pur.Gre,10,1,HA_T3,Treatment,a7160,NA,1121.86,6.23273,26.6745,60017.6,8.34646,50.0787,11.5997,8.95978,6.23984,5.03987,99.6775,5.11987,32.9592,10.3997,24.1594,15.9196,139.917,179.995,112.237
Novel,Thursday,NA,Q,1,male,Red.Bro,1,1,HA_C3,Control,a7564,NA,1122.1,6.24237,22.3111,50155.4,9.59976,9.59976,21.8395,17.3596,14.7996,15.1196,36.7191,13.2797,43.2789,17.5996,47.8388,39.679,92.4777,179.995,161.356
Novel,Thursday,NA,X,8,female,Red.Pur,1,2,HA_C3,Control,a7093,NA,1768.36,9.82446,19.6444,44199.8,10.5197,21.0395,27.6793,25.5994,12.4797,15.1996,23.9194,21.5995,40.639,12.8797,66.9583,39.759,73.2782,179.995,155.036
Novel,Thursday,NA,Q,1,female,Red.Red,2,1,HA_C3,Control,a7497,NA,436.751,2.42646,27.6756,62270,4.20913,54.7186,1.43996,0,5.99985,4.87988,98.8775,5.59986,8.63978,54.5586,4.31989,22.3194,153.356,179.995,49.9188
Novel,Thursday,NA,X,8,male,Bla.Pin,2,2,HA_C3,Control,a8043,NA,821.934,4.56642,26.7437,60173.4,1.00188,21.0395,7.9998,5.19987,8.87978,10.3197,111.997,9.43976,14.3996,11.7597,19.8395,24.5594,135.597,179.995,72.2382
Novel,Thursday,NA,Q,1,female,Gre.Pin,3,1,HA_C3,Control,a7679,NA,1137.49,6.31956,28.9491,65135.5,8.00E-02,0.079998,0,0,14.9596,10.3197,67.1983,3.8399,52.6387,31.0392,1.19997,36.1591,142.636,179.995,153.116
Novel,Thursday,NA,X,8,female,Ora.Pin,3,2,HA_T3,Treatment,a7556,NA,1350.49,7.50293,21.9966,49492.4,-,0,12.9597,8.63978,27.9193,20.3995,47.1188,19.7595,14.1596,29.0393,35.1991,64.4784,80.318,179.995,176.076
Novel,Thursday,NA,Q,1,female,_.Blu,4,1,HA_T3,Treatment,a7459,NA,3.40392,0.0189111,34.7355,78155,179.995,179.995,0,0,0,0,0,0,179.995,0,0,0,179.995,179.995,0
Novel,Thursday,NA,X,8,male,Pin.Pur,4,2,HA_T3,Treatment,a6842,NA,1258.52,6.99198,21.0104,47273.4,-,0,18.1595,2.55994,28.9593,22.7194,49.9188,19.6795,2.15995,35.8391,32.4792,69.8383,77.6781,179.995,177.196
