Stim,Day,Date,Video,Arena,Sex,Mark,Session,Camera,Tank,Group,Fish_ID,Notes,tot_dist,mean_speed,mean_dist_05,tot_dist_05,freeze_mean,freeze_dur,zone_510_dur,zone_05_dur,zone_2025_dur,zone_1520_dur,zone_3035_dur,zone_1015_dur,zone_3540_dur,zone_2530_dur,zone_near_dur,zone_middle_dur,zone_far_dur,arena_dur,moving_dur
Aggression,Monday,29/07/2019,G,7,male,Red.Whi,5,2,HA_T1,Treatment,a6991,NA,1404.87,7.80502,12.2376,27534.7,-,0,23.8394,71.2782,16.3996,16.9596,16.4796,17.9995,1.43996,15.5996,107.117,44.6389,28.2393,179.995,172.956
Aggression,Monday,29/07/2019,G,7,male,Red.Pin,6,2,HA_C2,Control,a7096,NA,1268.82,7.09331,9.31918,20865.6,8.00E-02,0.079998,18.7195,112.477,7.03982,7.43981,10.3997,11.2797,6.55984,5.83985,139.357,19.5195,20.8795,179.756,164.076
Aggression,Monday,29/07/2019,G,7,female,Red._,7,2,HA_C2,Control,a8064,NA,904.417,5.02467,6.18721,13921.2,1.68996,13.5197,14.0796,151.356,1.43996,3.8399,1.43996,6.31984,0,1.51996,169.676,8.1598,2.15995,179.995,136.317
Aggression,Monday,29/07/2019,G,7,male,Bla.Bro,8,2,HA_T2,Treatment,a7142,NA,1201.56,6.67551,6.91699,15563.2,8.00E-02,0.079998,19.3595,120.637,7.51981,11.5997,2.39994,12.2397,0.879978,5.35987,147.196,26.3993,6.39984,179.995,158.716
Aggression,Monday,29/07/2019,G,7,female,Yel.Gre,9,2,HA_T2,Treatment,a8067,NA,1559.31,8.67461,15.289,34369.6,-,0,12.3997,79.678,7.35982,6.95983,25.3594,8.95978,29.5993,9.67976,98.8775,18.6395,62.4784,179.995,165.356
Aggression,Monday,29/07/2019,G,7,female,Gre.Blu,10,2,HA_T2,Treatment,a7684,NA,2296.93,12.761,13.5607,30511.5,-,0,25.9993,56.7986,16.3996,16.0796,21.5195,21.3595,3.03992,18.7995,97.8376,44.3189,37.8391,179.995,178.236
Aggression,Tuesday,30/07/2019,G,7,male,Whi.Ora,1,2,HA_C3,Control,a7264,NA,1191.94,6.62205,4.98562,11217.7,-,0,7.9198,167.196,0.79998,0.79998,0.959976,0.959976,0,1.35997,175.756,2.39994,1.83995,179.995,164.876
Aggression,Tuesday,30/07/2019,G,7,female,Pin.Gre,2,2,HA_C3,Control,a6845,NA,1629.17,9.05117,16.4208,36946.9,0.159996,0.159996,20.3195,64.2384,8.95978,9.11977,40.399,9.91975,13.1197,13.9197,91.1977,24.6394,64.1584,179.995,153.276
Aggression,Tuesday,30/07/2019,G,7,female,Gre.Gre,3,2,HA_T3,Treatment,a7019,NA,786,4.36677,7.99169,17981.3,0.119997,0.479988,12.4797,149.196,3.03992,2.95993,2.71993,3.75991,3.27992,2.55994,164.316,8.1598,7.51981,179.995,120.557
Aggression,Tuesday,30/07/2019,G,7,female,Yel.Whi,4,2,HA_T3,Treatment,a7210,NA,1185.05,6.58377,14.6364,32932,72.2382,72.2382,11.4397,107.357,6.71983,4.55989,18.7995,5.19987,18.7195,7.19982,122.157,15.2796,42.5589,179.995,99.8375
