Phase,Day,Date,Video_ID,Arena,Sex,Mark,Session,Camera,Origin,ID,Group,Notes,Phase_1,Phase_2,Phase_3,Phase_4,dist center-point Mean cm,dist center-point Total cm,speed center-point Mean cm/s,speed center-point Total cm/s,dist_stim 0-5cm (Center) / center-point Mean cm,dist_stim 0-5cm (Center) / center-point Total cm,freeze Not Moving / center-point Mean s,freeze Not Moving / center-point Frequency,freeze Not Moving / center-point Cumulative Duration s,freeze Not Moving / center-point Cumulative Duration %,in_det_zone 5-10cm / center-point Frequency,in_det_zone 5-10cm / center-point Cumulative Duration s,in_det_zone 5-10cm / center-point Cumulative Duration %,in_det_zone 0-5cm / center-point Frequency,in_det_zone 0-5cm / center-point Cumulative Duration s,in_det_zone 0-5cm / center-point Cumulative Duration %,in_det_zone 20-25cm / center-point Frequency,in_det_zone 20-25cm / center-point Cumulative Duration s,in_det_zone 20-25cm / center-point Cumulative Duration %,in_det_zone 15-20cm / center-point Frequency,in_det_zone 15-20cm / center-point Cumulative Duration s,in_det_zone 15-20cm / center-point Cumulative Duration %,in_det_zone 30-35cm / center-point Frequency,in_det_zone 30-35cm / center-point Cumulative Duration s,in_det_zone 30-35cm / center-point Cumulative Duration %,in_det_zone 10-15cm / center-point Frequency,in_det_zone 10-15cm / center-point Cumulative Duration s,in_det_zone 10-15cm / center-point Cumulative Duration %,in_det_zone 35-40cm / center-point Frequency,in_det_zone 35-40cm / center-point Cumulative Duration s,in_det_zone 35-40cm / center-point Cumulative Duration %,in_det_zone 25-30cm / center-point Frequency,in_det_zone 25-30cm / center-point Cumulative Duration s,in_det_zone 25-30cm / center-point Cumulative Duration %,in_zone Near / center-point Frequency,in_zone Near / center-point Cumulative Duration s,in_zone Near / center-point Cumulative Duration %,in_zone Middle / center-point Frequency,in_zone Middle / center-point Cumulative Duration s,in_zone Middle / center-point Cumulative Duration %,in_zone Far / center-point Frequency,in_zone Far / center-point Cumulative Duration s,in_zone Far / center-point Cumulative Duration %,risk_3 Arena / center-point Frequency,risk_3 Arena / center-point Cumulative Duration s,risk_3 Arena / center-point Cumulative Duration %,move Moving / center-point Cumulative Duration s
Acclimation,Wednesday,,L,4,female,Pur.Pur,4,1,HA_T2,a6932,Treatment,,Aggression,Social,Novel,Predator,0.270497,608.618,3.3813,7607.92,18.2084,40987,2.57327,6,15.4396,0.756803,13,36.6391,1.79594,8,40.559,1.98808,5,4.23989,0.207827,8,8.63978,0.423496,16,15.9996,0.784252,11,9.59976,0.470551,9,52.6387,2.58019,10,11.7597,0.576425,7,83.1179,4.07419,11,19.9195,0.976394,5,77.0381,3.77617,1,180.075,8.82676,116.797
Acclimation,Friday,,S,3,female,Pur.Pur,9,1,HA_T2,a6932,Treatment,,Aggression,Predator,Social,Novel,0.293465,660.297,3.66841,8253.92,17.3923,39150.2,8.18646,6,49.1188,2.40765,8,6.47984,0.317622,3,68.7183,3.36836,19,14.3996,0.705827,16,15.3596,0.752882,18,16.4796,0.80778,13,11.1997,0.548977,11,33.1192,1.6234,18,14.3196,0.701906,9,81.198,3.98008,18,40.239,1.97239,10,58.6385,2.87428,1,180.075,8.82676,101.677
Acclimation,Tuesday,30/07/2019,G,7,female,Ora.Blu,8,2,HA_T4,a6961,Treatment,,Social,Predator,Novel,Aggression,0.495793,1115.53,6.19757,13944.5,26.5024,59656.8,41.279,1,41.279,2.02337,11,5.59986,0.274488,4,3.51991,0.172535,22,11.6797,0.572504,19,11.0397,0.541134,35,102.397,5.01921,17,10.7197,0.525449,14,14.2396,0.697984,33,20.8795,1.02345,8,14.9596,0.733276,21,32.8792,1.61164,14,132.237,6.48184,1,180.075,8.82676,131.277
Acclimation,Tuesday,,I,1,female,Ora.Blu,5,1,HA_T4,a6961,Treatment,,Aggression,Novel,Social,Predator,0.528126,1188.28,6.60174,14853.9,23.1204,52044.1,9.31977,2,18.6395,0.913654,21,16.3196,0.799937,10,20.3995,0.999922,21,10.5597,0.517606,20,9.19977,0.450945,25,21.5995,1.05874,21,12.7997,0.627402,13,50.4787,2.47432,24,38.719,1.89789,10,45.7589,2.24296,21,27.6793,1.35676,12,106.637,5.22704,1,180.075,8.82676,150.716
Acclimation,Thursday,,Q,1,female,Ora.Blu,10,1,HA_T4,a6961,Treatment,,Aggression,Predator,Novel,Social,0.405758,912.955,5.0721,11412.2,25.5586,57532.4,19.8395,2,39.679,1.94495,11,5.03987,0.247039,5,3.59991,0.176457,15,8.63978,0.423496,14,46.6388,2.2861,40,33.4392,1.63909,12,5.19987,0.254882,28,64.6384,3.16838,20,12.8797,0.631323,6,12.0797,0.59211,16,59.9985,2.94095,10,107.997,5.2937,1,180.075,8.82676,132.477
Acclimation,Monday,29/07/2019,A,1,male,Ora.Bro,6,1,HA_C2,a6967,Control,,Social,Novel,Aggression,Predator,0.647266,1456.35,8.09103,18204.8,20.5146,46178.4,-,0,0,0,33,18.3195,0.897969,16,29.2793,1.43518,29,17.6796,0.866599,30,15.1196,0.741118,36,25.1994,1.2352,32,16.2396,0.796016,19,37.8391,1.85476,32,20.3995,0.999922,15,57.9186,2.83899,31,45.5989,2.23512,17,76.5581,3.75265,1,180.075,8.82676,169.116
Acclimation,Wednesday,,J,2,male,Ora.Bro,3,1,HA_C2,a6967,Control,,Novel,Social,Aggression,Predator,0.705977,1588.45,8.82493,19856.1,14.2634,32107,-,0,0,0,40,22.4794,1.10187,25,75.6781,3.70951,28,8.47979,0.415654,29,8.1598,0.399969,30,21.9994,1.07835,31,12.2397,0.599953,15,18.8795,0.925418,29,12.1597,0.596032,16,106.157,5.20351,29,24.3194,1.19206,14,49.5988,2.43118,1,180.075,8.82676,174.076
Acclimation,Friday,,R,2,male,Ora.Bro,7,1,HA_C2,a6967,Control,,Novel,Predator,Social,Aggression,0.739169,1661.65,9.23984,20771.2,15.9952,35973.3,-,0,0,0,40,21.4395,1.0509,21,57.9186,2.83899,35,13.6797,0.670536,35,12.7197,0.623481,33,19.5995,0.960709,37,15.6796,0.768567,16,22.6394,1.10972,35,16.2396,0.796016,19,90.1577,4.41926,36,36.0791,1.76849,18,53.6787,2.63117,1,179.916,8.81892,174.396
Acclimation,Tuesday,30/07/2019,A,1,female,Gre.Yel,6,1,HA_C4,a6971,Control,,Social,Novel,Aggression,Predator,0.417397,939.143,5.21759,11739.6,17.0566,38394.3,6.31184,10,63.1184,3.09387,32,47.0388,2.3057,15,17.4396,0.854835,29,30.0792,1.47439,30,26.8793,1.31754,11,8.0798,0.396047,31,13.9996,0.686221,1,23.5994,1.15677,23,12.9597,0.635244,15,75.2781,3.68991,28,63.5184,3.11348,14,41.279,2.02337,1,180.075,8.82676,94.8776
Acclimation,Tuesday,,K,3,female,Gre.Yel,3,1,HA_C4,a6971,Control,,Predator,Social,Aggression,Novel,0.396806,892.812,4.96019,11160.4,14.4891,32614.9,29.5593,2,59.1185,2.89781,44,31.0392,1.52145,26,42.4789,2.08219,13,63.4384,3.10956,24,17.5996,0.862677,4,4.47989,0.219591,33,14.8796,0.729355,1,1.11997,0.0548977,7,5.03987,0.247039,15,84.5579,4.14477,20,86.3178,4.23104,5,9.19977,0.450945,1,180.075,8.82676,112.557
Acclimation,Thursday,,T,4,female,Gre.Yel,7,1,HA_C4,a6971,Control,,Predator,Aggression,Social,Novel,0.545174,1226.64,6.81484,15333.4,20.7636,46738.9,-,0,0,0,29,18.1595,0.890126,15,25.8394,1.26657,31,23.8394,1.16854,30,16.3996,0.803859,26,36.6391,1.79594,28,17.1196,0.83915,12,18.4795,0.905811,29,23.5994,1.15677,15,55.1986,2.70567,30,54.7186,2.68214,15,70.1582,3.43895,1,180.075,8.82676,173.116
Acclimation,Monday,29/07/2019,D,4,male,Red.Pin,3,1,HA_C1,a6985,Control,,Social,Aggression,Novel,Predator,0.706258,1589.08,8.82845,19864,19.5532,44014.3,8.50645,3,25.5194,1.25088,36,16.7196,0.819544,18,40.639,1.992,43,11.4397,0.56074,42,13.6797,0.670536,36,20.8795,1.02345,39,14.6396,0.717591,18,46.7188,2.29002,40,15.3596,0.752882,20,66.6383,3.26641,41,36.5591,1.79202,22,76.8781,3.76833,1,180.075,8.82676,144.556
Acclimation,Tuesday,,K,3,male,Red.Pin,8,1,HA_C1,a6985,Control,,Predator,Social,Aggression,Novel,0.609167,1370.63,7.61478,17133.3,25.3268,57010.5,7.19982,3,21.5995,1.05874,16,5.99985,0.294095,10,22.2394,1.09011,27,10.9597,0.537213,20,6.31984,0.30978,51,73.3582,3.5958,16,5.35987,0.262724,26,35.2791,1.72928,41,20.5595,1.00776,9,31.5192,1.54498,27,24.0794,1.1803,18,124.477,6.10148,1,180.075,8.82676,144.796
Acclimation,Friday,,S,3,male,Red.Pin,2,1,HA_C1,a6985,Control,,Aggression,Predator,Social,Novel,0.36508,821.43,4.56362,10268.1,20.4448,46021.2,33.0925,3,99.2775,4.86628,18,6.79983,0.333307,8,4.79988,0.235276,23,25.0394,1.22735,22,5.75986,0.282331,22,59.4385,2.9135,22,61.3585,3.00761,10,6.95983,0.34115,25,9.91975,0.486236,11,15.5996,0.764646,24,92.0777,4.51337,13,72.3982,3.54874,1,180.075,8.82676,71.1982
