Time,Day,Date,Video,Arena,Sex,Mark,Session,Camera,Tank,Group,Fish_ID,Notes,Phase1,Phase2,Phase3,Phase4,tot_dist,mean_speed,mean_dist_05,tot_dist_05,freeze_dur,zone_510_dur,zone_05_dur,zone_2025_dur,zone_1520_dur,zone_3035_dur,zone_1015_dur,zone_3540_dur,zone_2530_dur,zone_near_dur,zone_middle_dur,zone_far_dur,arena_dur,moving_dur
13-16,Monday,29/07/2019,A,1,male,Ora.Bla,1,1,HA_C1,Control,a7403,,Social,Novel,Aggression,Predator,1735.02,9.63923,15.3777,34599.8,0.079998,39.679,49.1188,8.39979,8.95978,23.7594,17.9995,22.5594,9.51976,102.397,24.3994,53.1987,179.995,171.836
13-16,Monday,29/07/2019,A,1,female,Blu.Blu,2,1,HA_C1,Control,a7659,,Social,Novel,Aggression,Predator,1696.81,9.42696,19.3492,43535.7,0,0.559986,0,39.039,57.8386,16.3996,31.5192,5.19987,29.4393,9.19977,129.917,40.879,179.995,177.676
13-16,Monday,29/07/2019,A,1,male,Red.Yel,3,1,HA_C1,Control,a7563,,Social,Novel,Aggression,Predator,1516.06,8.42274,14.9184,33566.3,0,33.0392,47.1188,17.1996,19.1195,15.1196,20.8795,14.8796,12.6397,93.8377,48.6388,37.5191,179.995,173.756
13-16,Monday,29/07/2019,A,1,female,Ora.Ora,4,1,HA_T1,Treatment,a7379,,Social,Novel,Aggression,Predator,1965.5,10.9197,16.3367,36757.7,0,35.5191,24.2394,19.5995,18.8795,23.4394,31.7592,9.99975,16.5596,84.0779,51.1187,44.7989,179.995,174.156
13-16,Monday,29/07/2019,A,1,male,Pin.Bro,5,1,HA_T1,Treatment,a7191,,Social,Novel,Aggression,Predator,1478.18,8.21233,21.9052,49286.7,0,6.39984,0,26.4793,23.7594,45.5189,35.5191,13.1197,29.1993,31.1992,70.3182,78.478,179.995,177.356
13-16,Monday,29/07/2019,A,1,male,Ora.Bro,6,1,HA_C2,Control,a6967,,Social,Novel,Aggression,Predator,1440.95,8.0055,9.99393,22486.3,0.079998,41.999,79.838,7.8398,9.83975,8.79978,18.0795,5.99985,7.59981,135.277,24.7994,19.9195,179.995,177.916
13-16,Monday,29/07/2019,A,1,male,Pin.Yel,7,1,HA_C2,Control,a6847,,Social,Novel,Aggression,Predator,1613.96,8.96666,12.2189,27492.6,0,77.9181,24.2394,11.7597,13.5197,15.7596,25.3594,0.79998,10.6397,119.757,37.5191,22.7194,179.995,176.556
13-16,Monday,29/07/2019,A,1,male,Ora.Yel,8,1,HA_C2,Control,a7153,,Social,Novel,Aggression,Predator,2027.19,11.2625,19.0945,42962.6,0.079998,32.5592,22.5594,14.7996,13.9197,33.5992,20.7995,24.0794,17.6796,69.3583,40.559,70.0782,179.995,174.156
13-16,Monday,29/07/2019,A,1,female,Red.Pur,9,1,HA_T2,Treatment,a7222,,Social,Novel,Aggression,Predator,1537.09,8.53961,17.3273,38986.5,0,40.559,7.67981,16.3196,18.5595,25.3594,42.4789,17.5196,11.5197,75.0381,54.5586,50.3987,179.995,174.556
13-16,Monday,29/07/2019,A,1,female,Whi._,11,1,HA_T2,Treatment,a8050,"RE-RUN, Covers fell down towards end, may exclude",Social,Novel,Aggression,Predator,1889.96,10.5001,18.1323,40797.6,0,8.23979,0,31.2792,52.0787,20.2395,46.7188,0.559986,20.8795,32.1592,113.757,34.0791,179.995,178.476
