,Stim,Day,Date,Video,Arena,Sex,Mark,Session,Camera,Tank,Group,Fish_ID,Notes,tot_dist,mean_speed,mean_dist_05,tot_dist_05,freeze_mean,freeze_dur,zone_510_dur,zone_05_dur,zone_2025_dur,zone_1520_dur,zone_3035_dur,zone_1015_dur,zone_3540_dur,zone_2530_dur,zone_near_dur,zone_middle_dur,zone_far_dur,arena_dur,moving_dur
210,Predator,Thursday,NA,S,3,male,Red.Yel,10,1,HA_T4,Treatment,a7321,"Tablet died at 19-20mins, possible exclusion",1439.49,7.99736,19.6579,44230.3,-,0,18.6395,1.91995,33.2792,27.9193,33.5192,27.9193,5.27987,31.5192,37.1191,83.5979,59.2785,179.995,175.996
211,Predator,Friday,NA,Q,1,male,Pin.Ora,1,1,HA_C1,Control,a7555,NA,1599.94,8.93645,14.9274,33437.3,1.35997,2.71993,32.3192,53.5987,16.7196,14.3196,23.9194,18.3195,3.27992,17.1996,98.4775,42.7189,38.479,179.676,167.516
212,Predator,Friday,NA,R,2,male,Pur.Yel,1,1,HA_C1,Control,a7272,NA,1708.22,9.49033,17.4314,39220.6,-,0,21.9994,46.5588,14.7196,12.2397,30.4792,13.1997,24.6394,16.1596,77.5981,36.3191,66.0783,179.995,174.796
213,Predator,Friday,NA,S,3,female,Ora.Pin,1,1,HA_C1,Control,a7498,NA,1164.02,6.46693,24.9513,56140.5,6.75983,27.0393,18.2395,14.3996,7.43981,6.39984,36.8791,12.6397,75.1181,8.87978,42.1589,19.7595,118.077,179.995,140.156
214,Predator,Friday,NA,Q,1,female,Blu.Blu,2,1,HA_C1,Control,a7659,NA,1430.02,7.94476,24.5236,55178.2,6.8265,20.4795,3.11992,1.35997,25.1194,26.2393,61.1185,9.59976,11.5997,41.839,9.59976,63.8384,106.557,179.995,154.316
215,Predator,Friday,NA,R,2,male,Gre.Yel,2,1,HA_C1,Control,a6859,NA,1078.02,5.98917,15.5282,34938.4,4.10656,49.2788,75.3581,12.5597,19.2795,13.3597,25.1994,14.2396,3.03992,16.9596,97.9975,40.959,41.039,179.995,91.4377
216,Predator,Friday,NA,S,3,male,Red.Pin,2,1,HA_C1,Control,a6985,NA,1375.7,7.64296,12.6459,28453.2,16.3196,16.3196,26.6393,88.8778,5.67986,4.95988,29.3593,7.9198,7.8398,8.71978,120.957,15.6796,43.3589,179.995,151.996
217,Predator,Friday,NA,Q,1,male,Yel._,3,1,HA_C1,Control,a7475,NA,1757.6,9.76468,15.3443,34524.8,-,0,28.5593,48.5588,16.2396,16.0796,29.1993,18.4795,5.67986,17.1996,89.7578,43.3589,46.8788,179.995,175.916
218,Predator,Friday,NA,R,2,male,Ora.Bro,3,1,HA_C1,Control,a7152,NA,885.707,4.92072,28.497,64118.3,24.2927,72.8782,8.47979,8.31979,5.11987,4.0799,39.999,6.39984,99.7575,7.8398,20.7195,13.1197,146.156,179.995,91.0377
219,Predator,Friday,NA,S,3,male,Ora.Bla,3,1,HA_C1,Control,a7403,NA,2067.59,11.4869,22.2558,50075.5,8.00E-02,0.079998,17.6796,13.4397,17.7596,17.1196,57.1186,15.6796,18.6395,22.5594,41.599,48.0788,90.3177,179.995,176.956
220,Predator,Friday,NA,Q,1,female,Bro.Yel,4,1,HA_T1,Treatment,a7087,NA,1283.27,7.12943,23.3211,52472.6,5.11987,5.11987,17.1196,21.9195,13.9197,8.1598,44.6389,8.87978,43.1189,22.2394,44.8789,29.2793,105.837,179.995,165.116
221,Predator,Friday,NA,R,2,female,Red.Pin,4,1,HA_T1,Treatment,a6894,NA,1361.14,7.5621,28.3223,63725.1,9.61576,48.0788,7.11982,7.27982,8.47979,6.39984,57.8386,6.15985,75.0381,11.6797,17.9196,20.9595,141.116,179.995,116.797
222,Predator,Friday,NA,S,3,male,Ora.Ora,4,1,HA_T1,Treatment,a7412,NA,1646.55,9.14772,14.269,32105.3,-,0,35.1991,52.3187,12.8797,15.7596,18.4795,21.0395,11.5997,12.7197,102.877,39.039,38.079,179.995,174.236
223,Predator,Friday,NA,Q,1,male,_.Whi,5,1,HA_T1,Treatment,a7269,NA,2037.59,11.3202,20.5179,46165.3,-,0,19.6795,13.9996,23.1994,20.8795,50.0787,15.1996,7.11982,29.8393,43.5989,58.2385,78.158,179.995,179.036
224,Predator,Friday,NA,R,2,female,_.Pur,5,1,HA_T1,Treatment,a6825,NA,308.741,1.71527,9.70283,21831.4,57.1586,114.317,133.437,34.2391,0.959976,2.63993,0.719982,6.79983,0,1.19997,172.956,5.51986,1.51996,179.995,57.4386
225,Predator,Friday,NA,S,3,female,Pin.Pin,5,1,HA_T1,Treatment,a7550,NA,1198.97,6.66112,18.8659,42448.3,3.59991,3.59991,18.3195,41.039,12.3197,14.0796,30.4792,16.3996,32.0792,15.2796,69.0383,37.8391,73.1182,179.995,167.836
226,Predator,Friday,NA,Q,1,female,Blu.Ora,6,1,HA_C2,Control,a7204,NA,713.593,3.96451,29.1387,65562,6.49984,51.9987,2.95993,0,4.47989,5.11987,115.197,2.47994,29.4393,20.3195,4.55989,12.3197,163.116,179.995,96.3176
227,Predator,Friday,NA,R,2,male,Ora.Pin,6,1,HA_C2,Control,a7408,NA,1497.85,8.32162,16.1752,36394.3,-,0,33.9192,29.9193,16.3196,16.7196,29.2793,25.5994,8.23979,19.9995,80.878,47.5988,51.5187,179.995,178.156
228,Predator,Friday,NA,S,3,male,Whi.Yel,6,1,HA_C2,Control,a7370,NA,1083.55,6.01988,27.5692,62030.7,1.10854,7.75981,5.51986,0,10.6397,8.31979,107.597,6.15985,13.2797,28.4793,9.51976,27.9193,142.556,179.995,110.317
229,Predator,Friday,NA,Q,1,female,_._,7,1,HA_C2,Control,a7658,NA,1917.21,10.6514,14.1771,31898.5,-,0,27.8393,56.5586,16.9596,11.9997,24.6394,17.0396,5.75986,19.1995,97.0376,39.439,43.5189,179.995,175.596
230,Predator,Friday,NA,R,2,male,Ora.Bro,7,1,HA_C2,Control,a6967,NA,1414.86,7.86055,18.7405,42166.2,4.87988,19.5195,22.6394,44.6389,9.75976,9.91975,31.0392,13.4397,37.1991,11.3597,75.5181,28.2393,76.2381,179.995,148.556
231,Predator,Friday,NA,S,3,female,Bla._,7,1,HA_C2,Control,a6798,NA,1746.23,9.70149,18.735,42153.7,-,0,17.7596,45.3589,14.2396,13.5997,37.999,11.8397,19.7595,19.4395,70.5582,38.319,71.1182,179.995,175.436
232,Predator,Friday,NA,Q,1,male,Ora.Yel,8,1,HA_C2,Control,a7153,NA,529.668,2.94267,11.6437,26198.2,34.9991,139.996,26.8793,7.75981,1.75996,2.63993,2.31994,136.077,0.39999,2.15995,144.876,30.7992,4.31989,179.995,34.7191
233,Predator,Friday,NA,R,2,female,Ora.Ora,8,1,HA_C2,Control,a7486,NA,1546.43,8.59147,17.6067,39615.1,16.8796,16.8796,20.1595,20.7195,20.2395,24.1594,39.519,24.8794,3.9199,26.3993,58.1585,58.7185,63.1184,179.995,160.076
234,Predator,Friday,NA,S,3,female,_.Pin,8,1,HA_C2,Control,a7549,NA,1288.15,7.15655,11.3171,25463.5,8.00E-02,0.159996,27.6793,86.9578,9.03977,7.8398,16.3196,16.3996,4.31989,11.4397,126.797,25.3594,27.8393,179.995,172.556
