"","X","Time","Day","Date","Video","Arena","Sex","Mark","Session","Camera","Tank","Group","Fish_ID","Notes","tot_dist","mean_speed","mean_dist_05","tot_dist_05","freeze_mean","freeze_dur","zone_510_dur","zone_05_dur","zone_2025_dur","zone_1520_dur","zone_3035_dur","zone_1015_dur","zone_3540_dur","zone_2530_dur","zone_near_dur","zone_middle_dur","zone_far_dur","arena_dur","moving_dur"
"14",1454,"6-9","Monday","29/07/2019","E",5,"female","Bro.Yel",3,2,"HA_T1","Treatment","a7087",NA,953.37,5.29663,10.8533,24420,"18.759499999999999",37.5191,8.39979,110.317,2.87993,2.63993,3.35992,5.43986,0,46.9588,122.717,45.8389,11.4397,179.995,126.237
"15",1455,"6-9","Monday","29/07/2019","G",7,"male","Ora.Ora",3,2,"HA_T1","Treatment","a7412",NA,1494.23,8.30148,13.1365,29557.2,"7.9998E-2",0.079998,20.6395,81.678,10.3997,9.91975,15.6796,14.2396,17.9995,9.43976,113.037,27.1193,39.839,179.995,173.596
"16",1456,"6-9","Monday","29/07/2019","A",1,"female","Ora.Ora",4,1,"HA_T1","Treatment","a7379",NA,639.756,3.55429,4.25505,9573.87,"7.9998E-2",0.39999,6.23984,172.156,0,0,0,1.59996,0,0,179.995,0,0,179.995,129.917
"17",1457,"6-9","Monday","29/07/2019","C",3,"male","Ora._",4,1,"HA_T1","Treatment","a7155",NA,1399.47,7.77505,9.24631,20804.2,"-",0,34.1591,92.7977,8.31979,11.1997,8.0798,14.4796,3.11992,7.8398,136.637,26.0793,17.2796,179.995,171.276
"18",1458,"6-9","Monday","29/07/2019","D",4,"female","Pin.Pin",4,1,"HA_T1","Treatment","a7550",NA,770.188,4.27893,5.35122,12040.2,"7.9998E-2",0.319992,11.3597,150.396,4.71988,5.03987,0,5.99985,0,2.47994,165.196,12.8797,1.91995,179.995,146.956
"19",1459,"6-9","Monday","29/07/2019","E",5,"female","Bla.Pur",4,2,"HA_T1","Treatment","a6925",NA,1139.74,6.33206,5.26399,11844,"-",0,36.7991,122.637,3.03992,4.31989,0,11.9197,0,1.27997,167.836,11.3597,0.79998,179.995,170.876
"20",1460,"6-9","Monday","29/07/2019","G",7,"female","Bro.Bro",4,2,"HA_T1","Treatment","a7662",NA,1194.97,6.64778,5.62307,12640.7,"7.9998E-2",0.079998,10.7997,145.596,4.95988,5.67986,2.55994,6.39984,0,3.9999,160.476,14.1596,5.35987,179.995,158.716
"21",1461,"6-9","Monday","29/07/2019","A",1,"male","Pin.Bro",5,1,"HA_T1","Treatment","a7191",NA,1472.88,8.18286,7.66762,17252.2,"7.9998E-2",0.079998,67.1983,66.9583,8.23979,9.11977,2.31994,22.7194,0,3.43991,151.436,24.0794,4.47989,179.995,173.436
"22",1462,"6-9","Monday","29/07/2019","C",3,"male","_.Whi",5,1,"HA_T1","Treatment","a7269",NA,1582.28,8.79064,11.3386,25511.8,"7.9998E-2",0.079998,29.7593,89.1978,9.75976,7.9198,10.3197,13.3597,11.3597,8.31979,128.717,23.8394,27.4393,179.995,171.836
"23",1463,"6-9","Monday","29/07/2019","D",4,"male","Blu.Whi",5,1,"HA_T1","Treatment","a6998",NA,1503.56,8.35334,9.33702,21008.3,"7.9998E-2",0.079998,16.3996,119.437,5.27987,4.87988,13.6797,6.31984,7.19982,6.79983,140.156,14.3196,25.5194,179.995,166.076
"24",1464,"6-9","Monday","29/07/2019","E",5,"male","Ora.Pur",5,2,"HA_T1","Treatment","a7062",NA,636.69,3.53726,5.48507,12341.4,"0.61816599999999999",6.79983,5.99985,167.996,0.239994,0.239994,3.8399,1.11997,0,0.559986,175.036,0.639984,4.31989,179.995,125.117
"25",1465,"6-9","Monday","29/07/2019","G",7,"male","Red.Whi",5,2,"HA_T1","Treatment","a6991",NA,1051.11,5.83966,10.2008,22951.8,"9.9997500000000003E-2",0.39999,15.5196,115.757,4.71988,5.27987,11.3597,6.95983,14.8796,5.51986,135.277,14.7996,29.9193,179.995,157.436
"26",1466,"6-9","Monday","29/07/2019","A",1,"male","Ora.Bro",6,1,"HA_C2","Control","a6967",NA,851.536,4.73088,5.63183,12671.6,"0.14399600000000001",0.719982,9.99975,148.716,3.59991,3.35992,4.31989,5.59986,0.959976,3.43991,162.796,9.43976,7.75981,179.995,135.437
"27",1467,"6-9","Monday","29/07/2019","C",3,"female","_.Pin",6,1,"HA_C2","Control","a7549",NA,464.473,2.58047,5.62291,12651.6,"0.101331",1.51996,3.67991,175.676,0,0,0,0.639984,0,0,179.995,0,0,179.995,104.877
"28",1468,"6-9","Monday","29/07/2019","D",4,"female","Ora.Ora",6,1,"HA_C2","Control","a7486",NA,914.263,5.07937,7.67315,17264.6,"7.9998E-2",0.079998,20.2395,128.957,4.63988,3.51991,6.15985,6.95983,1.99995,7.51981,154.316,12.6397,13.0397,179.995,149.596
"29",1469,"6-9","Monday","29/07/2019","E",5,"male","Bro.Pur",6,2,"HA_C2","Control","a7729",NA,638.401,3.54676,5.56964,12531.7,"0.191995",0.959976,2.39994,174.396,0.159996,1.27997,0,1.75996,0,0,177.916,2.07995,0,179.995,130.717
"30",1470,"6-9","Monday","29/07/2019","G",7,"male","Red.Pin",6,2,"HA_C2","Control","a7096",NA,800.18,4.45744,4.98737,11196.6,"9.7775299999999996E-2",0.879978,2.79993,169.116,0.479988,0.319992,0.39999,1.43996,4.95988,0.319992,172.956,1.27997,5.59986,179.836,138.317
"31",1471,"6-9","Monday","29/07/2019","A",1,"male","Pin.Yel",7,1,"HA_C2","Control","a6847",NA,791.423,4.3969,8.55651,19252.1,"7.9998E-2",0.479988,12.9597,129.677,2.87993,4.47989,11.3597,6.31984,5.91985,6.39984,147.116,11.3597,21.5195,179.995,147.436
"32",1472,"6-9","Monday","29/07/2019","C",3,"male","Whi.Yel",7,1,"HA_C2","Control","a7370",NA,495.166,2.75099,6.73507,15153.9,"7.9998E-2",0.559986,1.59996,169.836,0.239994,0.159996,1.43996,0.239994,6.23984,0.239994,171.596,0.559986,7.8398,179.995,107.117
"33",1473,"6-9","Monday","29/07/2019","D",4,"female","Pin.Bro",7,1,"HA_C2","Control","a7284",NA,887.387,4.93005,5.90599,13288.5,"0.98350499999999996",16.7196,11.0397,155.596,2.23994,2.47994,1.19997,4.1599,0,3.27992,169.836,6.55984,3.59991,179.995,125.517
