Phase,Day,Date,Video_ID,Arena,Sex,Mark,Session,Camera,Origin,Fish_ID,Group,Notes,Phase1,Phase2,Phase3,Phase4,tot_dist_Activity,mean_speed_Activity,mean_dist_05_Activity,tot_dist_05_Activity,freeze_dur_Activity,zone_510_dur_Activity,zone_05_dur_Activity,zone_2025_dur_Activity,zone_1520_dur_Activity,zone_3035_dur_Activity,zone_1015_dur_Activity,zone_3540_dur_Activity,zone_2530_dur_Activity,zone_near_dur_Activity,zone_middle_dur_Activity,zone_far_dur_Activity,arena_dur_Activity,moving_dur_Activity
Post-assay,Wednesday,21/08/2019,L,4,male,Gre.Whi,5,1,HA_T2,a6833,Treatment,,Aggression,Social,Novel,Predator,1801.06,10.0061,18.8592,42433.2,0,25.1194,19.0395,19.5195,18.1595,40.799,22.2394,9.27977,25.8394,58.3985,52.7987,68.7983,179.995,178.316
Post-assay,Tuesday,30/07/2019,C,3,male,_.Pin,7,1,HA_C4,a6839,Control,,Social,Aggression,Predator,Novel,929.52,5.16413,27.4417,61743.8,0.639984,10.5597,11.4397,7.9998,11.3597,16.8796,10.7197,100.157,10.8797,28.9593,26.0793,124.957,179.995,148.956
Post-assay,Monday,29/07/2019,C,3,female,Pin.Pin,11,1,HA_T2,a6840,Treatment,"RE-RUN, Covers fell down towards end, may exclude (also missing label)",Social,Aggression,Predator,Novel,420.531,2.33634,30.1618,67864.1,66.7183,3.03992,2.39994,4.31989,3.59991,85.9978,4.31989,71.9182,4.39989,8.31979,10.7997,160.876,179.995,40.319
Post-assay,Friday,13/09/2019,V,6,female,Pin.Pin,9,2,HA_T2,a6840,Treatment,,Aggression,Novel,Predator,Social,513.559,2.85318,26.3421,59269.6,19.5995,5.91985,2.79993,8.1598,9.51976,109.917,4.1599,2.47994,37.0391,11.5197,22.0794,146.396,179.995,67.5183
Post-assay,Wednesday,21/08/2019,K,3,female,Pin.Pin,4,1,HA_T2,a6840,Treatment,,Predator,Social,Aggression,Novel,476.763,2.64875,25.2528,56818.8,21.5995,4.95988,33.5192,10.0797,1.27997,76.6381,0.479988,19.5195,33.5192,38.799,26.3193,114.877,179.995,56.7186
Post-assay,Tuesday,30/07/2019,H,8,male,Pin.Pur,4,2,HA_T3,a6842,Treatment,,Novel,Aggression,Social,Predator,759.344,4.21868,14.0915,31705.9,2.71993,26.1593,61.9984,15.8396,19.2795,17.1196,13.2797,0,26.3193,96.4776,45.6789,37.8391,179.995,147.356
Post-assay,Thursday,12/09/2019,X,8,male,Pin.Pur,4,2,HA_T3,a6842,Treatment,,Predator,Social,Novel,Aggression,1112.4,6.18015,23.6376,53184.6,50.5587,3.9199,1.75996,41.919,16.7196,23.6794,11.1197,1.03997,79.838,11.1997,76.8781,91.9177,179.995,99.4375
Post-assay,Wednesday,21/08/2019,M,5,male,Pin.Pur,8,2,HA_T3,a6842,Treatment,,Social,Novel,Predator,Aggression,97.3866,0.54105,16.811,37824.7,168.476,1.43996,0.79998,0.959976,1.67996,43.6789,130.957,0,0.479988,132.717,3.43991,43.8389,179.995,8.31979
Post-assay,Thursday,12/09/2019,Q,1,male,Pin.Blu,8,1,HA_C4,a6843,Control,,Aggression,Predator,Novel,Social,422.134,2.34525,25.9835,58462.9,52.2387,14.9596,24.1594,1.99995,2.63993,49.1188,3.35992,80.958,2.79993,41.439,6.47984,132.077,179.995,54.4786
Post-assay,Tuesday,20/08/2019,O,7,male,Pin.Blu,2,2,HA_C4,a6843,Control,,Predator,Novel,Aggression,Social,1038.41,5.7691,11.5841,26064.1,4.39989,19.9995,97.5976,7.35982,7.27982,16.4796,9.83975,13.1197,8.31979,124.077,20.6395,35.2791,179.995,127.517
Post-assay,Tuesday,30/07/2019,G,7,female,Pin.Gre,2,2,HA_C3,a6845,Control,,Social,Predator,Novel,Aggression,1453.22,8.07366,26.6093,59870.9,6.95983,9.59976,16.6396,9.11977,7.11982,57.9186,5.43986,61.1185,13.0397,29.8393,21.9195,128.237,179.995,136.477
Post-assay,Thursday,12/09/2019,W,7,female,Pin.Gre,1,2,HA_C3,a6845,Control,,Predator,Novel,Social,Aggression,294.075,1.63379,16.1398,36314.5,20.5595,49.2788,51.5187,2.63993,2.71993,39.999,3.03992,5.59986,25.1994,102.717,12.6397,64.6384,179.995,39.519
Post-assay,Wednesday,21/08/2019,N,6,female,Pin.Gre,6,2,HA_C3,a6845,Control,,Novel,Predator,Aggression,Social,182.969,1.01652,17.0522,38367.4,24.5594,1.67996,6.71983,32.7192,101.037,4.0799,26.7193,1.91995,5.11987,30.8792,142.156,6.95983,179.995,20.7995
Post-assay,Monday,29/07/2019,A,1,male,Pin.Yel,7,1,HA_C2,a6847,Control,,Social,Novel,Aggression,Predator,296.052,1.64477,20.5925,46333.2,150.156,4.47989,1.03997,92.3977,4.39989,2.23994,7.03982,0,68.3983,9.27977,166.796,3.9199,179.995,25.9194
Post-assay,Friday,13/09/2019,T,4,male,Pin.Yel,6,1,HA_C2,a6847,Control,,Predator,Aggression,Social,Novel,195.06,1.08369,9.6186,21641.9,156.236,55.7586,117.437,1.19997,1.43996,1.35997,1.59996,0.319992,0.879978,174.236,3.35992,2.39994,179.995,15.6796
Post-assay,Wednesday,21/08/2019,P,8,male,Pin.Yel,1,2,HA_C2,a6847,Control,,Novel,Social,Predator,Aggression,210.587,1.16995,7.41746,16689.3,148.796,73.0382,97.5976,1.59996,2.95993,0,2.71993,0,2.07995,172.396,6.31984,1.27997,179.995,17.8396
Post-assay,Monday,29/07/2019,B,2,male,Gre.Yel,3,1,HA_C1,a6859,Control,,Novel,Aggression,Predator,Social,1837.94,10.211,15.2767,34372.7,31.6792,52.8787,18.1595,18.7995,27.3593,21.8395,18.2395,0.319992,22.3994,82.7179,60.4785,36.7991,179.995,140.796
Post-assay,Friday,13/09/2019,R,2,male,Gre.Yel,2,1,HA_C1,a6859,Control,,Novel,Predator,Social,Aggression,638.824,3.54911,9.55692,21503.1,42.3989,60.8785,95.1976,6.31984,5.43986,1.03997,5.43986,0,5.67986,159.596,16.2396,4.1599,179.995,45.4389
Post-assay,Tuesday,20/08/2019,N,6,male,Gre.Yel,7,2,HA_C1,a6859,Control,,Novel,Predator,Aggression,Social,824.096,4.57843,11.179,25152.7,19.7595,98.5575,14.7196,10.3197,14.6396,3.75991,26.3993,0,11.5997,126.477,42.2389,11.2797,179.995,88.8778
Post-assay,Tuesday,30/07/2019,H,8,male,Gre.Gre,8,2,HA_T4,a6869,Treatment,,Novel,Aggression,Social,Predator,487.802,2.71008,29.2823,65885.1,63.5984,5.35987,0.239994,12.1597,4.71988,76.3181,5.83985,63.6784,11.6797,9.67976,23.9994,146.316,179.995,40.879
Post-assay,Thursday,12/09/2019,X,8,male,Gre.Gre,8,2,HA_T4,a6869,Treatment,,Predator,Social,Novel,Aggression,5.77557,0.0320873,28.5443,64224.6,179.995,0,0,0,0,179.995,0,0,0,0,0,179.995,179.995,0
Post-assay,Tuesday,20/08/2019,M,5,male,Gre.Gre,5,2,HA_T4,a6869,Treatment,,Social,Novel,Predator,Aggression,134.202,0.745585,10.5355,23704.9,145.516,67.8383,70.3982,1.27997,1.51996,0.79998,0.79998,0,37.3591,138.797,38.319,2.87993,179.995,9.75976
Post-assay,Monday,29/07/2019,B,2,female,Blu.Yel,6,1,HA_C2,a6881,Control,,Novel,Aggression,Predator,Social,1820.99,10.1169,15.4042,34659.4,8.79978,20.6395,71.1982,10.1597,10.4797,24.8794,10.6397,22.4794,9.51976,98.7975,27.0393,54.1586,179.995,163.196
Post-assay,Friday,13/09/2019,V,6,female,Blu.Yel,6,2,HA_C2,a6881,Control,,Aggression,Novel,Predator,Social,1881.23,10.4515,11.0518,24866.6,0.39999,21.7595,102.477,5.75986,5.91985,17.2796,11.3597,7.9998,7.43981,132.237,17.1196,30.6392,179.995,162.556
Post-assay,Wednesday,21/08/2019,N,6,female,Blu.Yel,1,2,HA_C2,a6881,Control,,Novel,Predator,Aggression,Social,1960.12,10.8898,8.54759,19232.1,0,37.8391,103.037,5.91985,4.79988,9.03977,9.59976,3.67991,6.07985,148.236,14.3996,17.3596,179.995,176.316
Post-assay,Tuesday,30/07/2019,B,2,male,Blu.Pin,5,1,HA_T3,a6882,Treatment,,Novel,Aggression,Predator,Social,1869.28,10.3851,11.0759,24920.8,0.079998,16.7196,95.9176,9.99975,10.0797,14.2396,12.5597,10.2397,10.2397,120.637,28.1593,31.1992,179.995,168.876
