Phase,Day,Date,Video_ID,Arena,Sex,Mark,Session,Camera,Origin,Fish_ID,Group,Notes,Phase1,Phase2,Phase3,Phase4,tot_dist_Activity,mean_speed_Activity,mean_dist_05_Activity,tot_dist_05_Activity,freeze_dur_Activity,zone_510_dur_Activity,zone_05_dur_Activity,zone_2025_dur_Activity,zone_1520_dur_Activity,zone_3035_dur_Activity,zone_1015_dur_Activity,zone_3540_dur_Activity,zone_2530_dur_Activity,zone_near_dur_Activity,zone_middle_dur_Activity,zone_far_dur_Activity,arena_dur_Activity,moving_dur_Activity
Post-assay,Friday,13/09/2019,S,3,male,Red.Pin,2,1,HA_C1,a6985,Control,,Aggression,Predator,Social,Novel,776.089,4.31172,9.23559,20780.1,83.4379,8.55979,137.757,3.9999,3.9999,9.43976,4.95988,5.11987,6.15985,149.676,11.2797,19.0395,179.995,63.5984
Post-assay,Tuesday,20/08/2019,K,3,male,Red.Pin,8,1,HA_C1,a6985,Control,,Predator,Social,Aggression,Novel,524.377,2.91328,30.9077,69542.4,110.317,4.39989,2.39994,2.55994,2.23994,81.998,4.31989,78.958,3.11992,9.43976,7.35982,163.196,179.995,49.7588
Post-assay,Monday,29/07/2019,G,7,male,Red.Whi,5,2,HA_T1,a6991,Treatment,,Social,Predator,Novel,Aggression,1323.44,7.3526,22.1679,49877.7,0,19.9995,17.5996,16.9596,14.2396,41.039,15.4396,36.4791,18.2395,47.5988,43.1989,89.1978,179.995,173.356
Post-assay,Friday,13/09/2019,T,4,male,Red.Whi,5,1,HA_T1,a6991,Treatment,,Predator,Aggression,Social,Novel,428.616,2.38126,30.3738,68341,92.3177,0,0,2.71993,0.719982,164.156,0.959976,0.79998,10.6397,0.719982,5.91985,173.356,179.995,55.6786
Post-assay,Tuesday,20/08/2019,N,6,male,Red.Whi,10,2,HA_T1,a6991,Treatment,,Novel,Predator,Aggression,Social,521.551,2.89758,21.4288,48214.9,54.1586,20.0795,1.75996,63.1984,10.1597,19.9995,7.59981,3.27992,53.9187,26.9593,92.8777,60.1585,179.995,71.9982
Post-assay,Tuesday,30/07/2019,H,8,male,Yel.Pin,3,2,HA_T3,a6996,Treatment,,Novel,Aggression,Social,Predator,1158.26,6.43492,15.073,33914.2,0.159996,22.6394,73.0382,11.5997,8.31979,15.8396,13.0397,25.2794,10.2397,104.637,26.9593,48.3988,179.995,155.276
Post-assay,Thursday,12/09/2019,R,2,male,Yel.Pin,4,1,HA_T3,a6996,Treatment,,Novel,Predator,Social,Aggression,1001.64,5.56479,24.4628,55041.2,7.11982,8.95978,22.6394,9.27977,10.6397,47.4388,8.0798,56.4786,16.4796,36.7991,27.0393,116.157,179.995,142.316
Post-assay,Wednesday,21/08/2019,M,5,male,Yel.Pin,10,2,HA_T3,a6996,Treatment,,Social,Novel,Predator,Aggression,605.128,3.36191,17.6209,39647.1,106.317,8.55979,60.6385,5.43986,13.9996,13.1197,4.63988,0,73.5982,72.1582,55.4386,52.3987,179.995,51.3587
Post-assay,Monday,29/07/2019,D,4,male,Blu.Whi,5,1,HA_T1,a6998,Treatment,,Social,Aggression,Novel,Predator,1393.96,7.74442,10.3619,23314.2,45.6789,32.6392,98.5575,9.35977,9.03977,4.71988,15.1196,1.67996,8.87978,141.356,26.5593,12.0797,179.995,115.757
Post-assay,Friday,13/09/2019,U,5,male,Blu.Whi,4,2,HA_T1,a6998,Treatment,,Aggression,Social,Predator,Novel,1264.79,7.02676,12.2032,27457.2,8.87978,32.3192,71.2782,11.9997,12.8797,14.4796,17.4396,7.9998,11.5997,114.877,34.8791,30.2392,179.995,139.197
Post-assay,Tuesday,20/08/2019,P,8,male,Blu.Whi,9,2,HA_T1,a6998,Treatment,,Novel,Social,Predator,Aggression,1272,7.06683,28.0045,63010,0.159996,6.63983,6.15985,8.71978,7.03982,43.9189,6.63983,82.7979,18.0795,16.5596,22.1594,141.276,179.995,165.596
Post-assay,Monday,29/07/2019,H,8,male,Blu.Yel,1,2,HA_C1,a7002,Control,,Novel,Aggression,Social,Predator,1151.15,6.39542,18.4603,41535.6,0,3.75991,0,52.8787,49.2788,11.3597,31.2792,0,31.4392,21.1995,127.437,31.3592,179.995,176.076
Post-assay,Tuesday,20/08/2019,I,1,male,Blu.Yel,7,1,HA_C1,a7002,Control,,Aggression,Novel,Social,Predator,1103.53,6.1309,19.9993,44998.5,0,19.3595,5.35987,29.5193,21.4395,43.0389,23.0394,6.07985,32.1592,39.359,69.5983,71.0382,179.995,174.876
Post-assay,Monday,29/07/2019,F,6,male,Blu.Blu,7,2,HA_C2,a7006,Control,,Predator,Aggression,Novel,Social,748.95,4.16094,29.6614,66738.1,15.9196,5.43986,0.39999,8.63978,5.67986,44.9589,5.19987,96.0776,13.5997,8.71978,20.0795,151.196,179.995,103.117
Post-assay,Friday,13/09/2019,T,4,male,Blu.Blu,8,1,HA_C2,a7006,Control,,Predator,Aggression,Social,Novel,1496.59,8.31458,20.9492,47135.8,6.39984,15.9996,12.7997,38.799,20.0795,32.5592,19.0395,17.2796,23.4394,38.719,77.5981,63.6784,179.995,147.036
Post-assay,Wednesday,21/08/2019,K,3,male,Blu.Blu,2,1,HA_C2,a7006,Control,,Predator,Social,Aggression,Novel,1287.49,7.15287,19.7029,44331.5,7.27982,20.8795,25.3594,34.7991,21.0395,21.4395,12.8797,23.1194,20.4795,54.6386,71.5982,53.7587,179.995,141.756
Post-assay,Friday,13/09/2019,T,4,female,Gre.Pin,2,1,HA_C1,a7013,Control,,Predator,Aggression,Social,Novel,974.752,5.41543,14.8135,33330.5,50.7987,15.5196,55.2786,53.4387,18.7195,9.51976,13.0397,0.159996,14.3196,79.678,81.918,18.3995,179.995,117.437
Post-assay,Tuesday,30/07/2019,E,5,male,Gre._,2,2,HA_C3,a7017,Control,,Social,Predator,Aggression,Novel,1605.11,8.91748,7.58881,17074.8,0,20.3195,135.437,1.91995,2.79993,5.27987,4.95988,7.03982,2.23994,158.956,7.19982,13.8397,179.995,177.116
Post-assay,Thursday,12/09/2019,T,4,male,Gre._,2,1,HA_C3,a7017,Control,,Predator,Aggression,Social,Novel,1230.34,6.83538,15.9453,35876.8,0.079998,23.0394,55.9986,12.7997,11.3597,25.8394,18.1595,17.3596,15.4396,90.9577,34.9591,54.0786,179.995,177.356
Post-assay,Wednesday,21/08/2019,K,3,male,Gre._,7,1,HA_C3,a7017,Control,,Predator,Social,Aggression,Novel,1894.84,10.5271,23.6599,53234.8,0.079998,14.3996,1.11997,22.1594,18.2395,48.2388,19.9995,17.1196,38.719,28.0793,60.8785,91.0377,179.995,172.396
Post-assay,Tuesday,30/07/2019,D,4,male,Gre.Bro,10,1,HA_T4,a7018,Treatment,,Social,Aggression,Novel,Predator,1597.73,8.87649,28.8244,64854.8,0,1.83995,0.79998,8.55979,3.67991,114.477,4.79988,23.1194,22.7194,6.07985,19.5995,154.316,179.995,174.076
Post-assay,Thursday,12/09/2019,R,2,male,Gre.Bro,10,1,HA_T4,a7018,Treatment,,Novel,Predator,Social,Aggression,1780.13,9.90304,17.4437,39213.4,18.9595,42.2389,4.95988,32.4792,24.2394,18.1595,24.6394,0.479988,32.7992,62.6384,74.9581,42.1589,179.995,149.356
Post-assay,Tuesday,20/08/2019,K,3,male,Gre.Bro,5,1,HA_T4,a7018,Treatment,,Predator,Social,Aggression,Novel,819.284,4.55169,16.1785,36401.6,15.9996,17.7596,11.1197,26.6393,49.4388,9.43976,42.3189,3.35992,19.9195,46.7988,106.957,26.2393,179.995,121.437
Post-assay,Tuesday,30/07/2019,G,7,female,Gre.Gre,3,2,HA_T3,a7019,Treatment,,Social,Predator,Novel,Aggression,1037.77,5.76551,23.4625,52790.7,0.239994,13.1197,36.3191,7.27982,7.75981,33.9992,7.9998,61.3585,12.1597,54.1586,21.5995,104.237,179.995,148.716
Post-assay,Thursday,12/09/2019,W,7,female,Gre.Gre,4,2,HA_T3,a7019,Treatment,,Predator,Novel,Social,Aggression,1340.99,7.45015,11.5172,25913.8,25.5194,26.9593,97.4376,5.75986,6.71983,21.6795,8.47979,5.51986,7.43981,130.397,17.5996,31.9992,179.995,146.076
Post-assay,Wednesday,21/08/2019,I,1,female,Gre.Gre,9,1,HA_T3,a7019,Treatment,,Aggression,Novel,Social,Predator,1177.86,6.54384,21.9265,49334.6,0,14.6396,37.1991,11.1997,9.27977,19.1195,10.3997,65.1984,12.9597,58.5585,29.0393,92.3977,179.995,164.876
Post-assay,Tuesday,30/07/2019,D,4,female,_.Gre,6,1,HA_C4,a7020,Control,,Social,Aggression,Novel,Predator,1146.49,6.36954,22.6207,50896.5,33.1192,13.5997,44.4789,5.19987,4.95988,43.4389,6.87983,54.8786,6.55984,62.9584,13.9197,103.117,179.995,121.517
Post-assay,Thursday,12/09/2019,X,8,female,_.Gre,7,2,HA_C4,a7020,Control,,Predator,Social,Novel,Aggression,179.27,0.99597,6.9613,15662.9,126.317,8.23979,170.156,0,0,0,1.59996,0,0,179.916,0.079998,0,179.995,31.1992
Post-assay,Tuesday,20/08/2019,K,3,female,_.Gre,2,1,HA_C4,a7020,Control,,Predator,Social,Aggression,Novel,369.829,2.05466,27.1036,60983.2,118.477,8.87978,18.3195,1.11997,0.959976,48.8788,2.95993,39.759,59.1185,29.8393,2.71993,147.436,179.995,41.119
Post-assay,Tuesday,30/07/2019,H,8,female,Red.Pin,1,2,HA_C3,a7044,Control,,Novel,Aggression,Social,Predator,1050.15,5.83429,11.3639,25568.7,93.2777,5.75986,133.117,4.47989,4.0799,11.2797,5.19987,11.5997,4.47989,142.316,11.5197,26.1593,179.995,76.7981
Post-assay,Thursday,12/09/2019,U,5,female,Red.Pin,2,2,HA_C3,a7044,Control,,Aggression,Social,Predator,Novel,1976.46,10.9806,4.54031,10215.7,0,22.3194,154.316,0.239994,0.559986,0,2.39994,0,0.159996,178.636,1.35997,0,179.995,172.636
Post-assay,Wednesday,21/08/2019,K,3,female,Red.Pin,6,1,HA_C3,a7044,Control,,Predator,Social,Aggression,Novel,833.08,4.62834,17.2385,38786.6,102.477,5.75986,95.0376,3.35992,3.27992,13.8397,3.75991,50.9587,3.9999,103.437,9.11977,67.4383,179.995,66.2383
Post-assay,Tuesday,30/07/2019,D,4,male,Red.Bro,5,1,HA_T3,a7045,Treatment,,Social,Aggression,Novel,Predator,1673.47,9.29726,16.4799,37079.9,0,30.7192,30.5592,20.8795,19.8395,24.1594,23.5994,5.99985,24.2394,76.3181,55.8386,47.8388,179.995,177.356
Post-assay,Thursday,12/09/2019,W,7,male,Red.Bro,5,2,HA_T3,a7045,Treatment,,Predator,Novel,Social,Aggression,1429.56,7.94221,16.2717,36611.4,0,26.1593,39.679,19.2795,18.5595,25.8394,25.1994,6.63983,18.6395,82.4779,53.1187,44.3989,179.995,169.276
Post-assay,Wednesday,21/08/2019,N,6,male,Red.Bro,11,2,HA_T3,a7045,Treatment,RERUN; NEED TO MAKE NEW ARENA SETTINGS,Novel,Predator,Aggression,Social,692.325,7.57155,18.1941,20832.3,0,5.99985,7.11982,21.1995,17.7596,10.1597,12.2397,0,17.5996,20.7995,48.8788,22.3994,92.0777,69.9183
Post-assay,Monday,29/07/2019,F,6,male,Pin._,8,2,HA_T2,a7054,Treatment,,Predator,Aggression,Novel,Social,1224.43,6.80255,25.0368,56332.8,44.9589,11.4397,15.9196,9.91975,9.91975,62.3184,9.27977,50.8787,10.3197,32.8792,26.5593,120.557,179.995,101.197
Post-assay,Friday,13/09/2019,W,7,male,Pin._,8,2,HA_T2,a7054,Treatment,,Predator,Novel,Social,Aggression,719.498,3.99909,19.6043,44090.2,9.59976,19.4395,30.4792,19.8395,13.5197,42.6389,15.9996,3.9999,34.0791,59.6785,57.2786,63.0384,179.995,138.317
Post-assay,Wednesday,21/08/2019,J,2,male,Pin._,5,1,HA_T2,a7054,Treatment,,Novel,Social,Aggression,Predator,345.462,1.91928,7.79494,17538.6,138.317,2.07995,145.996,1.75996,1.59996,23.3594,1.59996,1.03997,2.55994,149.196,4.63988,26.1593,179.995,31.3592
Post-assay,Monday,29/07/2019,E,5,male,Pur._,7,2,HA_C2,a7056,Control,,Social,Predator,Aggression,Novel,1204.94,6.69427,20.7628,46716.4,2.07995,20.2395,35.3591,9.11977,9.59976,21.7595,17.3596,55.0386,11.5197,68.0783,26.7993,85.1179,179.995,152.556
Post-assay,Friday,13/09/2019,U,5,male,Pur._,6,2,HA_C2,a7056,Control,,Aggression,Social,Predator,Novel,766.154,4.25652,13.2399,29789.7,3.75991,26.7193,70.0782,11.7597,10.1597,12.3197,19.3595,15.9996,13.5997,111.357,30.2392,38.399,179.995,133.277
Post-assay,Wednesday,21/08/2019,K,3,male,Pur._,1,1,HA_C2,a7056,Control,,Predator,Social,Aggression,Novel,622.291,3.45726,23.3755,52594.8,18.7195,14.3196,26.6393,8.39979,6.71983,93.0377,11.9197,8.39979,10.5597,50.1587,21.1195,108.717,179.995,85.5979
Post-assay,Tuesday,30/07/2019,C,3,female,_.Ora,8,1,HA_C4,a7059,Control,,Social,Aggression,Predator,Novel,1270.11,7.05637,21.7107,48849.1,0,19.5195,25.7594,14.8796,10.9597,37.3591,13.7597,41.519,16.2396,54.4786,35.3591,90.1577,179.995,175.676
Post-assay,Thursday,12/09/2019,W,7,female,_.Ora,7,2,HA_C4,a7059,Control,,Predator,Novel,Social,Aggression,208.771,1.15987,8.0953,18214.4,100.717,3.19992,168.556,1.03997,0.879978,2.23994,1.19997,1.43996,1.43996,172.556,2.79993,4.63988,179.995,15.4396
Post-assay,Tuesday,20/08/2019,I,1,female,_.Ora,3,1,HA_C4,a7059,Control,,Aggression,Novel,Social,Predator,303.809,1.68787,34.3861,77368.8,75.2781,0.719982,1.35997,0.479988,0.479988,1.91995,0.559986,173.916,0.559986,2.47994,1.27997,176.236,179.995,36.2391
Post-assay,Tuesday,30/07/2019,H,8,female,Ora.Gre,9,2,HA_T4,a7061,Treatment,,Novel,Aggression,Social,Predator,1628.96,9.05,15.6788,35277.3,0.159996,26.2393,59.9985,9.11977,11.1997,18.9595,15.7596,28.0793,10.6397,97.0376,28.6393,54.3186,179.995,167.916
Post-assay,Thursday,12/09/2019,X,8,female,Ora.Gre,10,2,HA_T4,a7061,Treatment,,Predator,Social,Novel,Aggression,934.661,5.19269,27.4373,61734,64.4784,8.87978,9.99975,6.79983,6.79983,97.5976,5.99985,36.1591,7.75981,22.8794,17.9196,139.197,179.995,70.8782
Post-assay,Tuesday,20/08/2019,P,8,female,Ora.Gre,4,2,HA_T4,a7061,Treatment,,Novel,Social,Predator,Aggression,5.88757,0.0327096,5.7295,12891.4,179.995,0,179.995,0,0,0,0,0,0,179.995,0,0,179.995,0
Post-assay,Monday,29/07/2019,E,5,male,Ora.Pur,5,2,HA_T1,a7062,Treatment,,Social,Predator,Aggression,Novel,686.699,3.81509,16.8451,37901.5,115.677,8.63978,80.798,4.31989,3.75991,68.7983,4.87988,2.63993,6.15985,92.3177,11.9197,75.7581,179.995,59.0385
Post-assay,Friday,13/09/2019,T,4,male,Ora.Pur,4,1,HA_T1,a7062,Treatment,,Predator,Aggression,Social,Novel,186.658,1.03702,30.2338,68026.1,100.797,0,0,3.9199,0.719982,118.157,0,24.0794,33.1192,0,6.71983,173.276,179.995,29.2793
Post-assay,Tuesday,20/08/2019,N,6,male,Ora.Pur,8,2,HA_T1,a7062,Treatment,,Novel,Predator,Aggression,Social,3.99664,0.0222041,14.7496,33186.6,179.995,0,0,0,89.8378,0,90.1577,0,0,0,179.995,0,179.995,0
Post-assay,Monday,29/07/2019,C,3,female,Bro.Bla,2,1,HA_C1,a7082,Control,,Social,Aggression,Predator,Novel,1346.61,7.48133,12.5921,28332.2,43.1989,28.0793,87.2778,5.91985,7.35982,20.6395,14.7996,6.71983,9.19977,126.157,20.3195,33.5192,179.995,124.317
Post-assay,Friday,13/09/2019,U,5,female,Bro.Bla,1,2,HA_C1,a7082,Control,,Aggression,Social,Predator,Novel,139.788,0.776621,10.5196,23669.1,157.676,84.0779,1.67996,1.43996,2.15995,0,90.6377,0,0,175.196,4.79988,0,179.995,12.1597
Post-assay,Tuesday,20/08/2019,K,3,female,Bro.Bla,6,1,HA_C1,a7082,Control,,Predator,Social,Aggression,Novel,299.673,1.66489,20.2088,45469.9,138.637,5.75986,75.0381,1.19997,1.11997,32.4792,1.83995,61.3585,1.19997,82.3179,3.27992,94.3976,179.995,29.3593
Post-assay,Monday,29/07/2019,E,5,female,Bro.Yel,3,2,HA_T1,a7087,Treatment,,Social,Predator,Aggression,Novel,1297.91,7.21081,9.19736,20694,21.9994,29.3593,120.957,6.63983,5.59986,3.43991,8.39979,0,5.59986,156.556,16.6396,6.79983,179.995,119.117
Post-assay,Friday,13/09/2019,Q,1,female,Bro.Yel,4,1,HA_T1,a7087,Treatment,,Aggression,Predator,Novel,Social,1315.67,7.3127,20.7647,46699.8,0.79998,19.8395,30.0792,17.0396,8.95978,38.079,13.2797,29.2793,23.4394,58.7985,36.3191,84.8779,179.995,173.596
Post-assay,Tuesday,20/08/2019,L,4,female,Bro.Yel,9,1,HA_T1,a7087,Treatment,,Aggression,Social,Novel,Predator,577.135,3.20639,17.5469,39480.4,71.1182,41.679,5.91985,12.4797,32.2392,17.1996,27.7593,0.39999,42.3189,72.1582,51.5987,56.2386,179.995,57.0386
Post-assay,Monday,29/07/2019,H,8,female,Red.Ora,10,2,HA_T2,a7089,Treatment,,Novel,Aggression,Social,Predator,814.869,4.52716,14.8455,33402.3,76.6381,48.5588,16.7196,9.03977,48.3988,13.0397,26.0793,0,18.1595,77.998,72.7982,29.1993,179.995,84.1579
Post-assay,Friday,13/09/2019,R,2,female,Red.Ora,10,1,HA_T2,a7089,Treatment,,Novel,Predator,Social,Aggression,852.953,4.73874,21.6351,48678.9,0.079998,17.5196,21.3595,18.7995,14.7196,27.7593,16.2396,44.1589,19.4395,49.1988,45.7589,85.0379,179.995,156.716
Post-assay,Wednesday,21/08/2019,N,6,female,Red.Ora,3,2,HA_T2,a7089,Treatment,,Novel,Predator,Aggression,Social,361.653,2.00923,16.3099,36697.2,124.557,3.8399,93.5977,2.95993,1.59996,67.3583,2.15995,3.43991,5.03987,98.7175,6.23984,75.0381,179.995,32.7192
Post-assay,Tuesday,30/07/2019,D,4,female,Red.Bla,4,1,HA_T3,a7091,Treatment,,Social,Aggression,Novel,Predator,313.738,1.74303,32.7659,73723.2,153.116,1.35997,3.51991,1.51996,1.19997,7.59981,1.59996,160.476,2.71993,5.91985,3.9199,170.156,179.995,23.8394
Post-assay,Thursday,12/09/2019,V,6,female,Red.Bla,4,2,HA_T3,a7091,Treatment,,Aggression,Novel,Predator,Social,4.77376,0.0265215,0.345067,776.401,179.995,0,179.995,0,0,0,0,0,0,179.995,0,0,179.995,0
Post-assay,Wednesday,21/08/2019,N,6,female,Red.Bla,10,2,HA_T3,a7091,Treatment,,Novel,Predator,Aggression,Social,325.687,1.80942,21.0592,47383.1,140.316,55.6786,19.1995,1.27997,1.19997,95.7576,2.15995,1.99995,2.71993,76.4781,3.59991,99.9175,179.995,30.0792
Post-assay,Tuesday,30/07/2019,E,5,female,Red.Pur,1,2,HA_C3,a7093,Control,,Social,Predator,Aggression,Novel,984.805,5.47127,24.4776,55074.7,46.7188,6.47984,44.8789,2.79993,3.35992,63.1184,3.67991,52.3987,3.27992,53.6787,8.47979,117.837,179.995,112.797
Post-assay,Thursday,12/09/2019,X,8,female,Red.Pur,1,2,HA_C3,a7093,Control,,Predator,Social,Novel,Aggression,920.292,5.11286,9.15487,20598.4,94.2376,54.0786,94.3176,3.51991,3.9199,7.9198,8.23979,3.8399,4.1599,154.156,11.1197,14.7196,179.995,80.078
Post-assay,Wednesday,21/08/2019,M,5,female,Red.Pur,7,2,HA_C3,a7093,Control,,Social,Novel,Predator,Aggression,1459.65,8.1094,20.6952,46564.1,21.9994,13.3597,50.9587,8.31979,7.03982,36.5591,9.11977,41.359,13.2797,70.5582,22.0794,87.3578,179.995,142.636
Post-assay,Monday,29/07/2019,G,7,male,Red.Pin,6,2,HA_C2,a7096,Control,,Social,Predator,Novel,Aggression,1947.19,10.818,21.519,48417.8,0,17.2796,26.3993,14.7196,13.9996,33.1992,15.6796,40.079,18.6395,53.7587,40.719,85.5179,179.995,176.636
Post-assay,Friday,13/09/2019,U,5,male,Red.Pin,7,2,HA_C2,a7096,Control,,Aggression,Social,Predator,Novel,1576.58,8.75902,10.0957,22715.3,0,50.8787,78.718,6.71983,6.15985,9.43976,14.9596,6.31984,6.79983,141.036,18.5595,20.3995,179.995,174.956
Post-assay,Wednesday,21/08/2019,I,1,male,Red.Pin,1,1,HA_C2,a7096,Control,,Aggression,Novel,Social,Predator,1858.89,10.3274,18.9834,42712.6,14.3996,33.5192,29.4393,11.1197,21.1195,23.6794,13.5197,33.5992,13.9996,71.7582,40.799,67.4383,179.995,154.236
Post-assay,Tuesday,30/07/2019,A,1,male,Bla.Pin,10,1,HA_T4,a7138,Treatment,,Social,Novel,Aggression,Predator,1806.42,10.0359,25.8264,58109.3,8.1598,9.35977,1.67996,17.9995,13.1197,77.5181,9.99975,20.3195,29.9992,16.4796,43.9989,119.517,179.995,157.516
Post-assay,Thursday,12/09/2019,W,7,male,Bla.Pin,10,2,HA_T4,a7138,Treatment,,Predator,Novel,Social,Aggression,1863.09,10.3508,18.5004,41625.9,0,23.3594,15.5996,26.1593,22.7194,31.4392,25.3594,3.59991,31.7592,56.8786,67.7583,55.3586,179.995,174.956
Post-assay,Tuesday,20/08/2019,L,4,male,Bla.Pin,4,1,HA_T4,a7138,Treatment,,Aggression,Social,Novel,Predator,1304.12,7.24532,23.4333,52724.8,0,8.95978,14.2396,25.5994,15.2796,36.7191,11.3597,38.719,29.1193,30.3992,55.3586,94.2376,179.995,169.916
Post-assay,Tuesday,30/07/2019,E,5,male,Bla.Whi,4,2,HA_T3,a7139,Treatment,,Social,Predator,Aggression,Novel,927.833,5.15476,31.0948,69963.2,0.319992,3.03992,2.87993,7.75981,5.19987,28.9593,3.11992,115.117,13.9197,7.59981,17.5996,154.796,179.995,124.317
Post-assay,Thursday,12/09/2019,X,8,male,Bla.Whi,5,2,HA_T3,a7139,Treatment,,Predator,Social,Novel,Aggression,2080.89,11.5608,19.5469,43980.4,26.2393,19.1995,9.99975,28.4793,18.8795,17.1996,22.6394,0,63.5984,44.3189,73.5982,62.0784,179.995,140.636
Post-assay,Wednesday,21/08/2019,O,7,male,Bla.Whi,10,2,HA_T3,a7139,Treatment,,Predator,Novel,Aggression,Social,325.133,1.80634,9.01629,20286.7,138.717,111.357,20.7995,0.79998,2.55994,0.639984,42.3189,0.319992,1.19997,172.556,5.59986,1.83995,179.995,30.6392
Post-assay,Monday,29/07/2019,G,7,male,Bla.Bro,8,2,HA_T2,a7142,Treatment,,Social,Predator,Novel,Aggression,1820.47,10.114,15.5252,34931.7,0,24.9594,53.3587,17.8396,15.9996,23.5994,15.5996,10.1597,18.4795,89.1978,45.5189,45.2789,179.995,174.396
Post-assay,Friday,13/09/2019,U,5,male,Bla.Bro,10,2,HA_T2,a7142,Treatment,,Aggression,Social,Predator,Novel,1933.15,10.74,15.6702,35258,0.719982,27.9993,57.9186,14.2396,13.4397,24.4794,16.6396,9.35977,15.9196,96.7976,38.479,44.7189,179.995,160.956
Post-assay,Wednesday,21/08/2019,M,5,male,Bla.Bro,3,2,HA_T2,a7142,Treatment,,Social,Novel,Predator,Aggression,888.372,4.93552,16.0157,36035.4,91.9977,71.6782,15.1196,53.0387,11.2797,10.5597,10.2397,0.479988,7.59981,92.9577,70.9582,16.0796,179.995,72.2382
Post-assay,Tuesday,30/07/2019,F,6,male,Bla.Red,2,2,HA_C3,a7144,Control,,Predator,Aggression,Novel,Social,2336.13,12.9788,21.3094,47946.1,0,19.9995,28.8793,12.4797,11.9197,27.6793,13.1197,51.7587,14.1596,57.7586,32.7992,89.4378,179.995,172.556
Post-assay,Thursday,12/09/2019,T,4,male,Bla.Red,3,1,HA_C3,a7144,Control,,Predator,Aggression,Social,Novel,3274.58,18.1925,16.6358,37430.7,0,38.079,25.2794,16.9596,16.8796,36.7191,23.8394,2.15995,20.0795,79.678,47.1988,53.1187,179.995,178.556
Post-assay,Wednesday,21/08/2019,P,8,male,Bla.Red,7,2,HA_C3,a7144,Control,,Novel,Social,Predator,Aggression,2850.08,15.8342,14.7321,33147.2,0,34.4791,45.6789,14.3996,14.4796,28.0793,17.6796,8.79978,16.3996,92.5577,39.599,47.8388,179.995,176.236
Post-assay,Monday,29/07/2019,C,3,male,Ora.Bro,1,1,HA_C1,a7152,Control,,Social,Aggression,Predator,Novel,2089.58,11.6091,8.767,19725.8,0,49.7588,93.9177,3.59991,3.27992,8.0798,8.87978,7.67981,4.79988,150.316,10.5597,19.1195,179.995,176.876
Post-assay,Friday,13/09/2019,R,2,male,Ora.Bro,3,1,HA_C1,a7152,Control,,Novel,Predator,Social,Aggression,1073.96,5.97722,11.1981,25162.2,110.557,9.51976,131.597,5.35987,5.03987,9.75976,7.35982,4.1599,6.87983,146.076,14.6396,18.9595,179.995,66.0783
Post-assay,Tuesday,20/08/2019,M,5,male,Ora.Bro,6,2,HA_C1,a7152,Control,,Social,Novel,Predator,Aggression,2224.41,12.3582,24.3244,54729.9,0,11.1997,26.3193,6.31984,4.63988,85.7579,5.35987,24.4794,15.9196,41.279,15.5196,123.197,179.995,175.596
Post-assay,Monday,29/07/2019,A,1,male,Ora.Yel,8,1,HA_C2,a7153,Control,,Social,Novel,Aggression,Predator,2650.69,14.7264,21.1645,47620.2,0,26.4793,16.1596,15.1196,13.6797,59.5985,17.4396,10.3997,21.1195,54.4786,40.479,85.0379,179.995,175.196
Post-assay,Friday,13/09/2019,Q,1,male,Ora.Yel,8,1,HA_C2,a7153,Control,,Aggression,Predator,Novel,Social,367.146,2.03975,25.2282,56763.4,150.476,5.75986,0,1.91995,2.15995,6.39984,2.23994,0.159996,161.356,7.35982,56.8786,115.757,179.995,22.9594
Post-assay,Wednesday,21/08/2019,O,7,male,Ora.Yel,2,2,HA_C2,a7153,Control,,Predator,Novel,Aggression,Social,1404.66,7.80385,13.4979,30370.2,81.278,113.677,13.3597,8.0798,7.11982,13.5997,9.19977,5.83985,9.11977,133.357,21.1195,25.5194,179.995,80.078
Post-assay,Monday,29/07/2019,C,3,male,Ora._,4,1,HA_T1,a7155,Treatment,,Social,Aggression,Predator,Novel,1720.98,9.56121,18.949,42635.2,0.079998,30.2392,17.9995,21.9195,17.3596,39.679,19.6795,8.1598,24.9594,61.6785,53.5187,64.7984,179.995,177.116
Post-assay,Friday,13/09/2019,X,8,male,Ora._,4,2,HA_T1,a7155,Treatment,,Predator,Social,Novel,Aggression,1696.3,9.42412,16.6101,37372.6,0.079998,30.7992,12.7997,29.0393,26.1593,20.3995,28.3993,0.79998,31.5992,62.3184,76.6381,41.039,179.995,179.916
Post-assay,Tuesday,20/08/2019,O,7,male,Ora._,8,2,HA_T1,a7155,Treatment,,Predator,Novel,Aggression,Social,791.755,4.39875,23.0976,51969.6,70.3182,2.31994,0.239994,111.917,13.7597,15.1196,6.15985,1.11997,29.3593,5.35987,139.357,35.2791,179.995,72.9582
Post-assay,Tuesday,30/07/2019,A,1,female,Pur.Gre,4,1,HA_T3,a7160,Treatment,,Social,Novel,Aggression,Predator,1596.14,8.86769,24.3799,54854.7,1.99995,16.6396,19.1195,8.95978,7.35982,73.5982,7.27982,33.4392,13.5997,40.559,22.0794,117.357,179.995,168.156
Post-assay,Thursday,12/09/2019,R,2,female,Pur.Gre,5,1,HA_T3,a7160,Treatment,,Novel,Predator,Social,Aggression,749.568,4.16437,7.34494,16526.1,113.277,6.71983,154.076,2.31994,2.07995,6.15985,2.55994,2.23994,3.8399,162.636,5.91985,11.4397,179.995,61.8385
