Time,Video_ID,Arena,Day,Camera,Session,Tank,Group,Mark,Sex,Fish_ID,Date,Notes,tot_dist,mean_speed,freeze Not Moving / center-point Frequency,freeze Not Moving / center-point Cumulative Duration s,in_det_zone 5-10cm / center-point Frequency,in_det_zone 5-10cm / center-point Cumulative Duration s,in_det_zone 0-5cm / center-point Frequency,zone_05_dur,in_det_zone 20-25cm / center-point Frequency,in_det_zone 20-25cm / center-point Cumulative Duration s,in_det_zone 15-20cm / center-point Frequency,in_det_zone 15-20cm / center-point Cumulative Duration s,in_det_zone 30-35cm / center-point Frequency,in_det_zone 30-35cm / center-point Cumulative Duration s,in_det_zone 10-15cm / center-point Frequency,in_det_zone 10-15cm / center-point Cumulative Duration s,in_det_zone 35-40cm / center-point Frequency,in_det_zone 35-40cm / center-point Cumulative Duration s,in_det_zone 25-30cm / center-point Frequency,in_det_zone 25-30cm / center-point Cumulative Duration s,in_zone Near / center-point Frequency,in_zone Near / center-point Cumulative Duration s,in_zone Middle / center-point Frequency,in_zone Middle / center-point Cumulative Duration s,in_zone Far / center-point Frequency,in_zone Far / center-point Cumulative Duration s,risk_3 Arena / center-point Cumulative Duration s,move Moving / center-point Cumulative Duration s
9-12,2.1,5,Monday,2,4,HA_C3,Control,Red.Bro,male,a7564,9/09/2019,,576.495,3.20276,6,0.719998,8,6.47998,6,170.96,0,0,1,0.559998,0,0,4,2,0,0,0,0,2,179.04,1,0.959998,0,0,180,128.16
9-12,2.2,6,Monday,2,4,HA_C3,Control,Red.Pur,female,a7093,9/09/2019,,1446.86,8.03815,3,22.8799,53,59.6799,33,77.1198,18,4.63999,26,11.04,12,5.43999,35,14.32,5,3.67999,15,4.07999,19,147.12,25,21.1999,7,11.68,180,149.68
9-12,2.4,8,Monday,2,4,HA_C3,Control,Bla.Red,male,a7144,9/09/2019,,2357.45,13.097,0,0,48,24.7999,23,15.84,63,19.12,55,17.36,54,48.4799,52,19.6,20,10.32,68,24.4799,28,53.9199,61,50.3199,34,75.7598,180,178.4
9-12,4.3,7,Monday,2,4,HA_C3,Control,Gre._,male,a7017,9/09/2019,,1228.96,6.82757,1,0.319999,43,46.6399,31,107.6,6,2.71999,9,5.51999,1,0.799998,18,15.2,0,0,3,1.52,9,165.92,9,12.56,1,1.52,180,174.64
9-12,1.1,1,Monday,1,5,HA_C3,Control,Red.Red,female,a7497,9/09/2019,Video started recording at 3 mins,1047.6,5.82003,2,0.239999,23,18,18,111.84,13,5.59998,13,5.83998,16,16.96,12,6.15999,7,6.39998,15,9.19998,7,134.16,14,15.92,8,29.9199,180,159.44
9-12,1.2,2,Monday,1,5,HA_C3,Control,Gre.Pin,female,a7679,9/09/2019,Video started recording at 3 mins,1736.13,9.64517,0,0,24,15.84,7,5.99998,52,21.1199,45,21.5199,58,33.9999,38,19.92,28,34.7999,57,26.7999,20,34.9599,49,57.1199,29,87.9198,180,177.12
9-12,1.3,3,Monday,1,5,HA_C3,Control,Whi.Pin,female,a7232,9/09/2019,Video started recording at 3 mins,637.088,3.53939,8,87.0398,22,15.52,15,133.84,7,1.83999,10,4.79999,7,12.16,14,6.15998,5,4.07999,5,1.6,8,154.08,10,8.63998,3,17.28,180,75.6798
9-12,1.4,4,Monday,1,5,HA_C3,Control,Red.Blu,male,a7466,9/09/2019,Video started recording at 3 mins,2020.77,11.2265,2,6.87998,63,33.1199,31,31.4399,52,17.68,59,19.8399,27,16.96,62,35.1199,11,6.71998,40,19.1199,33,81.7598,57,60.8799,25,37.3599,180,168.56
9-12,2.1,5,Monday,2,5,HA_C3,Control,Bro.Ora,male,a7361,9/09/2019,,1258.2,6.99002,4,0.32,33,17.84,21,136.48,13,4.95999,18,6.23999,5,3.03999,22,7.91998,1,0.479998,9,3.03999,11,160.08,14,15.04,4,4.87999,180,157.52
9-12,2.2,6,Monday,2,5,HA_C3,Control,Pin.Blu,female,a7552,9/09/2019,,1017.31,5.65173,1,0.08,33,32.5599,19,101.04,12,7.51998,15,9.35998,8,7.27998,23,13.52,3,2.47999,10,6.23998,9,144.16,12,21.2799,4,14.56,180,167.2
9-12,2.4,8,Monday,2,5,HA_C3,Control,Bla.Pin,male,a8043,9/09/2019,,1943.49,10.7972,2,0.399999,40,21.1199,20,32.6399,52,16,47,14.48,54,33.9199,42,13.52,25,26.5599,57,21.7599,22,62.6398,49,41.3599,27,75.9998,180,168.8
9-12,4.3,7,Monday,2,5,HA_C3,Control,Blu.Pur,female,a6813,9/09/2019,,1216.54,6.7586,1,0.079999,28,12.64,17,141.76,17,3.99999,17,3.75999,10,6.23998,20,5.75998,2,0.559999,17,5.27999,9,158.96,16,10.64,8,10.4,180,154.4
9-12,1.1,1,Monday,1,6,HA_T3,Treatment,Pur.Gre,female,a7160,9/09/2019,Reminder: Water is changed after two tanks,555.226,3.0846,10,0.799999,0,0,1,180,0,0,0,0,0,0,0,0,0,0,0,0,1,180,0,0,0,0,180,129.28
9-12,1.2,2,Monday,1,6,HA_T3,Treatment,Red.Pur,male,a7325,9/09/2019,,874.372,4.86846,4,82.7198,17,83.5998,9,29.5199,28,8.31998,26,8.07998,19,13.68,21,6.87998,4,2.63999,29,26.9599,13,117.2,25,22.3199,16,39.8399,179.92,77.0398
9-12,1.3,3,Monday,1,6,HA_T3,Treatment,Blu.Pin,male,a6882,9/09/2019,,1883.82,10.4657,0,0,57,27.5199,29,59.5999,47,15.04,48,18,23,21.9199,53,17.76,2,1.04,45,19.12,27,99.5197,51,44.2399,25,36.2399,180,174.72
9-12,1.4,4,Monday,1,6,HA_T3,Treatment,Yel.Pin,male,a6996,9/09/2019,,1150.49,6.39161,2,11.12,28,33.9199,12,23.5199,21,21.1199,26,20.9599,15,17.84,30,20.6399,8,26.1599,17,15.84,14,71.3598,23,53.9999,9,54.6399,180,159.76
9-12,2.1,5,Monday,2,6,HA_T3,Treatment,Ora.Pin,female,a7556,9/09/2019,,712.354,3.95753,6,2.47999,11,7.19998,9,159.04,4,1.91999,5,2.31999,3,2,6,2.15999,2,3.35999,3,2,4,167.76,5,5.99998,2,6.23998,180,139.6
9-12,2.2,6,Monday,2,6,HA_T3,Treatment,Yel.Whi,female,a7210,9/09/2019,,1326.96,7.372,2,10.64,14,11.36,6,5.75998,15,4.87999,14,4.63999,62,90.6398,15,6.55998,43,40.7999,27,15.36,8,21.6799,19,14.88,11,143.44,180,163.76
9-12,2.4,8,Monday,2,6,HA_T3,Treatment,_.Blu,female,a7459,9/09/2019,,72.9368,0.405205,1,162.64,2,1.6,2,7.99998,1,0.319999,1,0.479999,1,1.12,1,0.399999,1,167.76,1,0.32,1,9.83998,1,1.04,1,169.12,180,13.28
