Mark,Sex,Fish_ID,Origin,Glucose,Meter,Group,Weight
Bro.Ora,female,a7439,HA_T4,1.6,2,Treatment,0.629
Bro.Ora,female,a7439,HA_T4,1.9,3,Treatment,0.629
_.Bla,male,a6799,HA_T4,3.2,1,Treatment,0.546
_.Bla,male,a6799,HA_T4,3.4,2,Treatment,0.546
_.Bla,male,a6799,HA_T4,3.4,3,Treatment,0.546
Ora.Blu,female,a6961,HA_T4,3.8,1,Treatment,0.621
Ora.Blu,female,a6961,HA_T4,3.8,2,Treatment,0.621
Ora.Blu,female,a6961,HA_T4,3.7,3,Treatment,0.621
Whi.Ora,male,a7646,HA_T4,2.6,1,Treatment,0.564
Whi.Ora,male,a7646,HA_T4,2.4,2,Treatment,0.564
Whi.Ora,male,a7646,HA_T4,2.2,3,Treatment,0.564
Red.Yel,male,a7321,HA_T4,1.9,1,Treatment,0.457
Red.Yel,male,a7321,HA_T4,2.1,2,Treatment,0.457
Red.Yel,male,a7321,HA_T4,1.2,3,Treatment,0.457
Yel.Blu,female,a7214,HA_T4,3.5,1,Treatment,0.689
Yel.Blu,female,a7214,HA_T4,3.5,2,Treatment,0.689
Yel.Blu,female,a7214,HA_T4,3.7,3,Treatment,0.689
Bla.Pin,male,a7138,HA_T4,2.6,1,Treatment,0.566
Bla.Pin,male,a7138,HA_T4,2.7,2,Treatment,0.566
Bla.Pin,male,a7138,HA_T4,2.6,3,Treatment,0.566
Blu.Bla,male,a6891,HA_T4,2.5,1,Treatment,0.578
Blu.Bla,male,a6891,HA_T4,2.6,2,Treatment,0.578
Blu.Bla,male,a6891,HA_T4,2.6,3,Treatment,0.578
_.Red,male,a8057,HA_T4,5.3,1,Treatment,0.475
_.Red,male,a8057,HA_T4,5.4,2,Treatment,0.475
_.Red,male,a8057,HA_T4,5.2,3,Treatment,0.475
Red.Gre,female,a7562,HA_T4,2.8,1,Treatment,0.629
Red.Gre,female,a7562,HA_T4,2.7,2,Treatment,0.629
Red.Gre,female,a7562,HA_T4,2.8,3,Treatment,0.629
